name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
superg;Super Galaxians;1979;hack;YES;galaxian;NO;galaxian;-;
galapx;Galaxian Part X;1979;hack;YES;galaxian;NO;galaxian;-;
moonaln;Moon Alien;1979;[Nichibutsu] (Karateco license);YES;galaxian;NO;galaxian;-;
galap1;Space Invaders Galactica;1979;hack;YES;galaxian;NO;galaxian;-;
galap4;Galaxian Part 4;1979;hack;YES;galaxian;NO;galaxian;-;
galturbo;Galaxian Turbo;1979;hack;YES;galaxian;NO;galaxian;-;
swarm;Swarm;1979;hack;YES;galaxian;NO;galaxian;-;
zerotime;Zero Time;1979;Petaco S.A.;YES;galaxian;NO;galaxian;-;
tst_galx;Galaxian Test ROM;19??;Test ROM;YES;galaxian;NO;galaxian;-;
gmgalax;Ghostmuncher Galaxian (bootleg);1981;bootleg;NO;-;YES;-;-;
pisces;Pisces;19??;Subelectro;NO;-;YES;-;-;
piscesb;Pisces (bootleg);19??;bootleg;YES;pisces;NO;pisces;-;
uniwars;UniWar S;1980;Irem;NO;-;YES;-;-;
gteikoku;Gingateikoku No Gyakushu;1980;Irem;YES;uniwars;NO;uniwars;-;
gteikokb;Gingateikoku No Gyakushu (bootleg set 1);1980;bootleg;YES;uniwars;NO;uniwars;-;
gteikob2;Gingateikoku No Gyakushu (bootleg set 2);1980;bootleg;YES;uniwars;NO;uniwars;-;
spacbatt;Space Battle;1980;bootleg;YES;uniwars;NO;uniwars;-;
skyraidr;Sky Raiders;1980;bootleg;YES;uniwars;NO;uniwars;-;
batman2;Batman Part 2;1981;bootleg;YES;phoenix;NO;phoenix;-;
warofbug;War of the Bugs or Monsterous Manouvers in a Mushroom Maze;1981;Armenia;NO;-;YES;-;-;
redufo;Defend the Terra Attack on the Red UFO;1981;bootleg;NO;-;YES;-;-;
exodus;Exodus (bootleg[Q]);19??;Subelectro;YES;redufo;NO;redufo;-;
streakng;Streaking;1981;Shoei;NO;-;YES;-;-;
pacmanbl;Pac-Man (Galaxian hardware);1981;bootleg;YES;puckman;NO;puckman;-;
devilfsg;Devil Fish (Galaxian hardware, bootleg[Q]);1984;Vision / Artic;YES;devilfsh;NO;devilfsh;-;
zigzag;Zig Zag (Galaxian hardware, set 1);1982;LAX;NO;-;YES;-;-;
zigzag2;Zig Zag (Galaxian hardware, set 2);1982;LAX;YES;zigzag;NO;zigzag;-;
jumpbug;Jump Bug;1981;Rock-ola;NO;-;YES;-;-;
jumpbugb;Jump Bug (bootleg);1981;bootleg;YES;jumpbug;NO;jumpbug;-;
levers;Levers;1983;Rock-ola;NO;-;YES;-;-;
azurian;Azurian Attack;1982;Rait Electronics Ltd;NO;-;YES;-;-;
orbitron;Orbitron;1982;Signatron USA;NO;-;YES;-;-;
mooncrgx;Moon Cresta (Galaxian hardware);1980;bootleg;YES;mooncrst;NO;mooncrst;-;
mooncrst;Moon Cresta (Nichibutsu);1980;Nichibutsu;NO;-;YES;-;-;
mooncrsu;Moon Cresta (Nichibutsu, unencrypted);1980;Nichibutsu USA;YES;mooncrst;NO;mooncrst;-;
mooncrsa;Moon Cresta (Nichibutsu, old rev);1980;Nichibutsu;YES;mooncrst;NO;mooncrst;-;
mooncrsg;Moon Cresta (Gremlin);1980;Gremlin;YES;mooncrst;NO;mooncrst;-;
smooncrs;Super Moon Cresta;1980?;Gremlin;YES;mooncrst;NO;mooncrst;-;
mooncrsb;Moon Cresta (bootleg set 1);1980;bootleg;YES;mooncrst;NO;mooncrst;-;
mooncrs2;Moon Cresta (bootleg set 2);1980;Nichibutsu;YES;mooncrst;NO;mooncrst;-;
fantazia;Fantazia;1980;bootleg;YES;mooncrst;NO;mooncrst;-;
moonqsr;Moon Quasar;1980;Nichibutsu;NO;-;YES;-;-;
mshuttle;Moon Shuttle (US[Q]);1981;Nichibutsu;NO;-;YES;-;-;
mshuttlj;Moon Shuttle (Japan);1981;Nichibutsu;YES;mshuttle;NO;mshuttle;-;
moonal2;Moon Alien Part 2;1980;Nichibutsu;NO;-;YES;-;-;
moonal2b;Moon Alien Part 2 (older version);1980;Nichibutsu;YES;moonal2;NO;moonal2;-;
eagle;Eagle (set 1);1980;Centuri;YES;mooncrst;NO;mooncrst;-;
eagle2;Eagle (set 2);1980;Centuri;YES;mooncrst;NO;mooncrst;-;
skybase;Sky Base;1982;Omori Electric Co., Ltd.;NO;-;YES;-;-;
checkman;Check Man;1982;Zilec-Zenitone;NO;-;YES;-;-;
checkmaj;Check Man (Japan);1982;Jaleco;YES;checkman;NO;checkman;-;
dingo;Dingo;1983;Ashby Computers and Graphics LTD. (Jaleco license);NO;-;YES;-;-;
blkhole;Black Hole;1981;TDS;NO;-;YES;-;-;
kingball;King and Balloon (US);1980;Namco;NO;-;YES;-;-;
kingbalj;King and Balloon (Japan);1980;Namco;YES;kingball;NO;kingball;-;
scorpnmc;Scorpion (Moon Cresta hardware);19??;Dorneer;NO;-;YES;-;-;
frogg;Frog (Galaxian hardware);1981;bootleg;YES;frogger;NO;frogger;-;
4in1;4 Fun in 1;1981;Armenia / Food and Fun;NO;-;YES;-;-;
bagmanmc;Bagman (Moon Cresta hardware);1982;bootleg;YES;bagman;NO;bagman;-;
dkongjrm;Donkey Kong Jr. (Moon Cresta hardware);1982;bootleg;YES;dkongjr;NO;dkongjr;-;
ozon1;Ozon I;1983;Proma;NO;-;YES;-;-;
ladybugg;Ladybug (bootleg on Galaxian hardware);1983;bootleg;YES;ladybug;NO;ladybug;-;
vpool;Video Pool (bootleg on Moon Cresta hardware);1980;bootleg;YES;hustler;NO;hustler;-;
drivfrcg;Driving Force (Galaxian conversion);1984;Shinkai Inc. (Magic Eletronics USA licence);YES;drivfrcp;NO;drivfrcp;-;
rockclim;Rock Climber;1981;Taito;NO;-;YES;-;-;
scramble;Scramble;1981;Konami;NO;-;YES;-;-;
scrambls;Scramble (Stern);1981;[Konami] (Stern license);YES;scramble;NO;scramble;-;
scramblb;Scramble (Galaxian hardware);1981;bootleg;YES;scramble;NO;scramble;-;
explorer;Explorer;1981;bootleg;YES;scramble;NO;scramble;-;
atlantis;Battle of Atlantis (set 1);1981;Comsoft;NO;-;YES;-;-;
atlants2;Battle of Atlantis (set 2);1981;Comsoft;YES;atlantis;NO;atlantis;-;
theend;The End;1980;Konami;NO;-;YES;-;-;
theends;The End (Stern);1980;[Konami] (Stern license);YES;theend;NO;theend;-;
omega;Omega;1986;bootleg?;YES;theend;NO;theend;-;
ckongs;Crazy Kong (Scramble hardware);1981;bootleg;YES;ckong;NO;ckong;-;
froggers;Frog;1981;bootleg;YES;frogger;NO;frogger;-;
amidars;Amidar (Scramble hardware);1982;Konami;YES;amidar;NO;amidar;-;
triplep;Triple Punch;1982;KKI;NO;-;YES;-;-;
knockout;Knock Out!!;1982;KKK;YES;triplep;NO;triplep;-;
mariner;Mariner;1981;Amenip;NO;-;YES;-;-;
800fath;800 Fathoms;1981;Amenip (US Billiards Inc. license);YES;mariner;NO;mariner;-;
mars;Mars;1981;Artic;NO;-;YES;-;-;
devilfsh;Devil Fish;1982;Artic;NO;-;YES;-;-;
newsin7;New Sinbad 7;1983;ATW USA, Inc.;NO;-;YES;-;-;
mrkougar;Mr. Kougar;1984;ATW;NO;-;YES;-;-;
mrkougr2;Mr. Kougar (earlier);1983;ATW;YES;mrkougar;NO;mrkougar;-;
mrkougb;Mr. Kougar (bootleg);1983;bootleg;YES;mrkougar;NO;mrkougar;-;
hotshock;Hot Shocker;1982;E.G. Felaco;NO;-;YES;-;-;
hunchbks;Hunchback (Scramble hardware);1983;Century Electronics;YES;hunchbak;NO;hunchbak;-;
cavelon;Cavelon;1983;Jetsoft;NO;-;YES;-;-;
sfx;SF-X;1983;Nichibutsu;NO;-;YES;-;-;
mimonscr;Mighty Monkey (bootleg on Scramble hardware);198?;bootleg;YES;mimonkey;NO;mimonkey;-;
mimonkey;Mighty Monkey;198?;Universal Video Games;NO;-;YES;-;-;
mimonsco;Mighty Monkey (bootleg on Super Cobra hardware);198?;bootleg;YES;mimonkey;NO;mimonkey;-;
scobra;Super Cobra;1981;Konami;NO;-;YES;-;-;
scobras;Super Cobra (Stern);1981;[Konami] (Stern license);YES;scobra;NO;scobra;-;
scobrase;Super Cobra (Sega);1981;[Konami] (Sega license);YES;scobra;NO;scobra;-;
scobrab;Super Cobra (bootleg);1981;bootleg;YES;scobra;NO;scobra;-;
stratgyx;Strategy X;1981;Konami;NO;-;YES;-;-;
stratgys;Strategy X (Stern);1981;[Konami] (Stern license);YES;stratgyx;NO;stratgyx;-;
armorcar;Armored Car (set 1);1981;Stern;NO;-;YES;-;-;
armorca2;Armored Car (set 2);1981;Stern;YES;armorcar;NO;armorcar;-;
moonwar;Moonwar;1981;Stern;NO;-;YES;-;-;
moonwara;Moonwar (older);1981;Stern;YES;moonwar;NO;moonwar;-;
spdcoin;Speed Coin (prototype);1984;Stern;NO;-;YES;-;-;
darkplnt;Dark Planet;1982;Stern;NO;-;YES;-;-;
tazmania;Tazz-Mania (set 1);1982;Stern;NO;-;YES;-;-;
tazmani2;Tazz-Mania (set 2);1982;Stern;YES;tazmania;NO;tazmania;-;
calipso;Calipso;1982;[Stern] (Tago license);NO;-;YES;-;-;
anteater;Anteater;1982;[Stern] (Tago license);NO;-;YES;-;-;
rescue;Rescue;1982;Stern;NO;-;YES;-;-;
aponow;Apocaljpse Now;1982;bootleg;YES;rescue;NO;rescue;-;
minefld;Minefield;1983;Stern;NO;-;YES;-;-;
losttomb;Lost Tomb (easy);1982;Stern;NO;-;YES;-;-;
losttmbh;Lost Tomb (hard);1982;Stern;YES;losttomb;NO;losttomb;-;
superbon;Agent Super Bond (Super Cobra conversion);1985;Signatron USA;NO;-;YES;-;-;
hustler;Video Hustler;1981;Konami;NO;-;YES;-;-;
billiard;The Billiards;1981;bootleg;YES;hustler;NO;hustler;-;
hustlerb;Video Hustler (bootleg);1981;bootleg;YES;hustler;NO;hustler;-;
frogger;Frogger;1981;Konami;NO;-;YES;-;-;
frogseg1;Frogger (Sega set 1);1981;[Konami] (Sega license);YES;frogger;NO;frogger;-;
frogseg2;Frogger (Sega set 2);1981;[Konami] (Sega license);YES;frogger;NO;frogger;-;
froggrmc;Frogger (Moon Cresta hardware);1981;bootleg?;YES;frogger;NO;frogger;-;
amidar;Amidar;1981;Konami;NO;-;YES;-;-;
amidaru;Amidar (Stern);1982;Konami (Stern license);YES;amidar;NO;amidar;-;
amidaro;Amidar (Olympia);1982;Konami (Olympia license);YES;amidar;NO;amidar;-;
amigo;Amigo;1982;bootleg;YES;amidar;NO;amidar;-;
turtles;Turtles;1981;[Konami] (Stern license);NO;-;YES;-;-;
turpin;Turpin;1981;[Konami] (Sega license);YES;turtles;NO;turtles;-;
600;600;1981;Konami;YES;turtles;NO;turtles;-;
flyboy;Fly-Boy;1982;Kaneko;NO;-;YES;-;-;
flyboyb;Fly-Boy (bootleg);1982;Kaneko;YES;flyboy;NO;flyboy;-;
fastfred;Fast Freddie;1982;Atari;YES;flyboy;NO;flyboy;-;
jumpcoas;Jump Coaster;1983;Kaneko;NO;-;YES;-;-;
boggy84;Boggy '84;1983;bootleg;NO;-;YES;-;-;
redrobin;Red Robin;1986;Elettronolo;NO;-;YES;-;-;
imago;Imago (cocktail set);1984;Acom;NO;-;YES;-;-;
imagoa;Imago (no cocktail set);1983;Acom;YES;imago;NO;imago;-;
cclimber;Crazy Climber (US);1980;Nichibutsu;NO;-;YES;-;-;
cclimbrj;Crazy Climber (Japan);1980;Nichibutsu;YES;cclimber;NO;cclimber;-;
ccboot;Crazy Climber (bootleg set 1);1980;bootleg;YES;cclimber;NO;cclimber;-;
ccboot2;Crazy Climber (bootleg set 2);1980;bootleg;YES;cclimber;NO;cclimber;-;
ckong;Crazy Kong (set 1);1981;Falcon;NO;-;YES;-;-;
ckonga;Crazy Kong (set 2);1981;Falcon;YES;ckong;NO;ckong;-;
ckongjeu;Crazy Kong (Jeutel bootleg);1981;bootleg;YES;ckong;NO;ckong;-;
ckongo;Crazy Kong (Orca bootleg);1981;bootleg;YES;ckong;NO;ckong;-;
ckongalc;Crazy Kong (Alca bootleg);1981;bootleg;YES;ckong;NO;ckong;-;
monkeyd;Monkey Donkey;1981;bootleg;YES;ckong;NO;ckong;-;
rpatrolb;River Patrol (bootleg);1982?;bootleg;NO;-;YES;-;-;
silvland;Silver Land;1982?;Falcon;YES;rpatrolb;NO;rpatrolb;-;
yamato;Yamato (US);1983;Sega;NO;-;YES;-;-;
yamato2;Yamato (World[Q]);1983;Sega;YES;yamato;NO;yamato;-;
swimmer;Swimmer (set 1);1982;Tehkan;NO;-;YES;-;-;
swimmera;Swimmer (set 2);1982;Tehkan;YES;swimmer;NO;swimmer;-;
swimmerb;Swimmer (set 3);1982;Tehkan;YES;swimmer;NO;swimmer;-;
guzzler;Guzzler;1983;Tehkan;NO;-;YES;-;-;
cannonb;Cannon Ball (Crazy Climber hardware);1985;Soft;NO;-;YES;-;-;
gomoku;Gomoku Narabe Renju;1981;Nichibutsu;NO;-;YES;-;-;
wiping;Wiping;1982;Nichibutsu;NO;-;YES;-;-;
rugrats;Rug Rats;1983;Nichibutsu;YES;wiping;NO;wiping;-;
friskyt;Frisky Tom (set 1);1981;Nichibutsu;NO;-;YES;-;-;
friskyta;Frisky Tom (set 2);1981;Nichibutsu;YES;friskyt;NO;friskyt;-;
radrad;Radical Radial;1982;Nichibutsu USA;NO;-;YES;-;-;
seicross;Seicross;1984;Nichibutsu + Alice;NO;-;YES;-;-;
sectrzon;Sector Zone;1984;Nichibutsu + Alice;YES;seicross;NO;seicross;-;
firebatl;Fire Battle;1984;Taito;NO;-;YES;-;-;
clshroad;Clash-Road;1986;Woodplace Inc.;NO;-;YES;-;-;
tubep;Tube Panic;1984;Nichibutsu + Fujitek;NO;-;YES;-;-;
rjammer;Roller Jammer;1984;Nichibutsu + Alice;NO;-;YES;-;-;
magmax;Mag Max;1985;Nichibutsu;NO;-;YES;-;-;
cop01;Cop 01 (set 1);1985;Nichibutsu;NO;-;YES;-;-;
cop01a;Cop 01 (set 2);1985;Nichibutsu;YES;cop01;NO;cop01;-;
mightguy;Mighty Guy;1986;Nichibutsu;NO;-;YES;-;-;
terracre;Terra Cresta (YM3526 set 1);1985;Nichibutsu;NO;-;YES;-;-;
terracrb;Terra Cresta (YM3526 set 2);1985;Nichibutsu;YES;terracre;NO;terracre;-;
terracra;Terra Cresta (YM2203);1985;Nichibutsu;YES;terracre;NO;terracre;-;
amazon;Soldier Girl Amazon;1986;Nichibutsu;NO;-;YES;-;-;
amatelas;Sei Senshi Amatelass;1986;Nichibutsu;YES;amazon;NO;amazon;-;
horekid;Kid no Hore Hore Daisakusen;1987;Nichibutsu;NO;-;YES;-;-;
horekidb;Kid no Hore Hore Daisakusen (bootleg);1987;bootleg;YES;horekid;NO;horekid;-;
galivan;Galivan - Cosmo Police (12-16-1985);1985;Nichibutsu;NO;-;YES;-;-;
galivan2;Galivan - Cosmo Police (12-11-1985);1985;Nichibutsu;YES;galivan;NO;galivan;-;
dangar;Dangar - Ufo Robo (12-1-1986);1986;Nichibutsu;NO;-;YES;-;-;
dangar2;Dangar - Ufo Robo (9-26-1986);1986;Nichibutsu;YES;dangar;NO;dangar;-;
dangarb;Dangar - Ufo Robo (bootleg);1986;bootleg;YES;dangar;NO;dangar;-;
ninjemak;Ninja Emaki (US);1986;Nichibutsu;NO;-;YES;-;-;
youma;Youma Ninpou Chou (Japan);1986;Nichibutsu;YES;ninjemak;NO;ninjemak;-;
legion;Legion - Spinner-87 (World ver 2.03);1987;Nichibutsu;NO;-;YES;-;-;
legiono;Chouji Meikyuu Legion (Japan bootleg ver 1.05);1987;Nichibutsu;YES;legion;NO;legion;-;
terraf;Terra Force;1987;Nichibutsu;NO;-;YES;-;-;
terrafu;Terra Force (US);1987;Nichibutsu USA;YES;terraf;NO;terraf;-;
kodure;Kodure Ookami (Japan);1987;Nichibutsu;NO;-;YES;-;-;
armedf;Armed Formation;1988;Nichibutsu;NO;-;YES;-;-;
cclimbr2;Crazy Climber 2 (Japan);1988;Nichibutsu;NO;-;YES;-;-;
hyhoo;Taisen Quiz HYHOO (Japan);1987;Nichibutsu;NO;-;YES;-;-;
hyhoo2;Taisen Quiz HYHOO 2 (Japan);1987;Nichibutsu;NO;-;YES;-;-;
pastelgl;Pastel Gal (Japan 851224);1985;Nichibutsu;NO;-;YES;-;-;
crystalg;Crystal Gal (Japan 860512);1986;Nichibutsu;NO;-;YES;-;-;
crystal2;Crystal Gal 2 (Japan 860620);1986;Nichibutsu;NO;-;YES;-;-;
citylove;City Love (Japan 860908);1986;Nichibutsu;NO;-;YES;-;-;
apparel;Apparel Night (Japan 860929);1986;Central Denshi;NO;-;YES;-;-;
secolove;Second Love (Japan 861201);1986;Nichibutsu;NO;-;YES;-;-;
housemnq;House Mannequin (Japan 870217);1987;Nichibutsu;NO;-;YES;-;-;
housemn2;House Mannequin Roppongi Live hen (Japan 870418);1987;Nichibutsu;NO;-;YES;-;-;
seiha;Seiha (Japan 870725);1987;Nichibutsu;NO;-;YES;-;-;
seiham;Seiha [BET] (Japan 870723);1987;Nichibutsu;YES;seiha;NO;seiha;-;
bijokkoy;Bijokko Yume Monogatari (Japan 870925);1987;Nichibutsu;NO;-;YES;-;-;
iemoto;Iemoto (Japan 871020);1987;Nichibutsu;NO;-;YES;-;-;
ojousan;Ojousan (Japan 871204);1987;Nichibutsu;NO;-;YES;-;-;
bijokkog;Bijokko Gakuen (Japan 880116);1988;Nichibutsu;NO;-;YES;-;-;
orangec;Orange Club - Maruhi Kagai Jugyou (Japan 880213);1988;Daiichi Denshi;NO;-;YES;-;-;
vipclub;Vip Club [BET] (Japan 880310);1988;Daiichi Denshi;YES;orangec;NO;orangec;-;
korinai;Mahjong-zukino Korinai Menmen (Japan 880425);1988;Nichibutsu;NO;-;YES;-;-;
kaguya;Mahjong Kaguyahime [BET] (Japan 880521);1988;MIKI SYOUJI;NO;-;YES;-;-;
otonano;Otona no Mahjong (Japan 880628);1988;Apple;NO;-;YES;-;-;
kanatuen;Kanatsuen no Onna [BET] (Japan 880905);1988;Panac;NO;-;YES;-;-;
mjsikaku;Mahjong Shikaku (Japan 880908);1988;Nichibutsu;NO;-;YES;-;-;
mjsikakb;Mahjong Shikaku (Japan 880722);1988;Nichibutsu;YES;mjsikaku;NO;mjsikaku;-;
mjcamera;Mahjong Camera Kozou (Japan 881109);1988;MIKI SYOUJI;NO;-;YES;-;-;
mmcamera;Mahjong Camera Kozou [BET] (Japan 890509);1989;Miki Syouji;YES;mjcamera;NO;mjcamera;-;
idhimitu;Idol no Himitsu [BET] (Japan 890304);1989;Digital Soft;NO;-;YES;-;-;
msjiken;Mahjong Satsujin Jiken (Japan 881017);1988;Nichibutsu;NO;-;YES;-;-;
hanamomo;Mahjong Hana no Momoko gumi (Japan 881201);1988;Nichibutsu;NO;-;YES;-;-;
telmahjn;Telephone Mahjong (Japan 890111);1988;Nichibutsu;NO;-;YES;-;-;
gionbana;Gionbana (Japan 890120);1989;Nichibutsu;NO;-;YES;-;-;
mjfocus;Mahjong Focus (Japan 890313);1989;Nichibutsu;NO;-;YES;-;-;
mjfocusm;Mahjong Focus [BET] (Japan 890510);1989;Nichibutsu;YES;mjfocus;NO;mjfocus;-;
peepshow;Nozokimeguri Mahjong Peep Show (Japan 890404);1989;AC;YES;mjfocus;NO;mjfocus;-;
scandal;Scandal Mahjong (Japan 890213);1989;Nichibutsu;NO;-;YES;-;-;
scandalm;Scandal Mahjong [BET] (Japan 890217);1989;Nichibutsu;YES;scandal;NO;scandal;-;
mgmen89;Mahjong G-MEN'89 (Japan 890425);1989;Nichibutsu;NO;-;YES;-;-;
mjnanpas;Mahjong Nanpa Story (Japan 890713);1989;BROOKS;NO;-;YES;-;-;
mjnanpaa;Mahjong Nanpa Story (Japan 890712);1989;BROOKS;YES;mjnanpas;NO;mjnanpas;-;
mjnanpau;Mahjong Nanpa Story (Ura) (Japan 890805);1989;BROOKS;YES;mjnanpas;NO;mjnanpas;-;
pairsten;Pairs (System Ten) (Japan 890826);1989;System Ten;NO;-;YES;-;-;
bananadr;Mahjong Banana Dream [BET] (Japan 891124);1989;Digital Soft;NO;-;YES;-;-;
mladyhtr;Mahjong THE LADY HUNTER (Japan 900509);1990;Nichibutsu;NO;-;YES;-;-;
chinmoku;Mahjong Chinmoku no Hentai (Japan 900511);1990;Nichibutsu;NO;-;YES;-;-;
maiko;Maikobana (Japan 900802);1990;Nichibutsu;NO;-;YES;-;-;
club90s;Mahjong CLUB 90's (set 1) (Japan 900919);1990;Nichibutsu;NO;-;YES;-;-;
club90sa;Mahjong CLUB 90's (set 2) (Japan 900919);1990;Nichibutsu;YES;club90s;NO;club90s;-;
hanaoji;Hana to Ojisan [BET] (Japan 911209);1991;Nichibutsu;NO;-;YES;-;-;
