name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
ddtod;Dungeons & Dragons - tower of doom (940412 Euro);1994;Capcom;YES;-;NO;-;
defender;Defender (Red label);1980;Williams;YES;-;NO;-;
demon;Demon;1982;Rock-ola;YES;-;NO;-;-
digdug;Dig Dug (rev 2);1982;Namco;YES;-;NO;-;
digdug2;Dig Dug II (New Ver.);1985;Namco;YES;-;NO;-;
dino;Cadillacs & Dinosaurs (930201 etc);1993;Capcom;YES;-;NO;-;
dkong;Donkey Kong (US set 1);1981;Nintendo of America;YES;-;NO;-;
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;YES;-;NO;-;
dkongjr;Donkey Kong Junior (US set F-2);1982;Nintendo of America;YES;-;NO;-;
docastle;Mr. Do's Castle (set 1);1983;Universal;YES;-;NO;-;
donpachi;DonPachi (USA, ver. 1.12, 95/05/2x);1995;Atlus / Cave;YES;-;NO;-;
dstlk;Darkstalkers - the night warriors (940705 Euro);1994;Capcom;YES;-;NO;-;
dynablst;Dynablaster / Bomber Man;1991;Irem (licensed from Hudson Soft);YES;-;NO;-;
elevator;Elevator Action (5 pcb version, 1.1);1983;Taito Corporation;YES;-;NO;-;
elvactr;Elevator Action Returns (Ver 2.2O 1995/02/20);1994;Taito Corporation Japan;YES;-;NO;-;
esb;The Empire Strikes Back;1985;Atari Games;YES;-;NO;-;-
fantzn2;Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057);1988;Sega;YES;-;NO;-;
fantzone;Fantasy Zone (Rev A, unprotected);1986;Sega;YES;-;NO;-;
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;YES;neogeo;NO;-;
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033);1992;SNK;YES;neogeo;NO;-;
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;YES;neogeo;NO;-;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;YES;neogeo;NO;-;
ffight;Final Fight (World, set 1);1989;Capcom;YES;-;NO;-;
foodf;Food Fight (rev 3);1982;General Computer Corporation (Atari license);YES;-;NO;-;
frogger;Frogger;1981;Konami;YES;-;NO;-;
ga2;Golden Axe: The Revenge of Death Adder (World);1992;Sega;YES;-;NO;-;
galaga;Galaga (Namco rev. B);1981;Namco;YES;-;NO;-;
galaxian;Galaxian (Namco set 1);1979;Namco;YES;-;NO;-;
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;YES;neogeo;NO;-;
gaunt2;Gauntlet II;1986;Atari Games;YES;-;NO;-;
gauntlet;Gauntlet (rev 14);1985;Atari Games;YES;-;NO;-;
gforce2;Galaxy Force 2;1988;Sega;YES;-;NO;-;
gground;Gain Ground (FD1094 317-0058-03?);1988;Sega;YES;-;NO;-;-
ghouls;Ghouls'n Ghosts (World);1988;Capcom;YES;-;NO;-;
gigas;Gigas (MC-8123, 317-5002) [Please use gigasb instead!];1986;SEGA;YES;-;NO;-;
gloc;G-LOC Air Battle (World);1990;Sega;YES;-;NO;-;
gng;Ghosts'n Goblins (World? set 1);1985;Capcom;YES;-;NO;-;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);1989;Sega;YES;-;NO;-;
gorf;Gorf;1981;Dave Nutting Associates / Midway;YES;-;NO;-;
gradius3;Gradius III (World, program code R);1989;Konami;YES;-;NO;-;
gradius4;Gradius IV: Fukkatsu (ver JAC);1998;Konami;YES;-;NO;-;
gravitar;Gravitar (version 3);1982;Atari;YES;-;NO;-;-
gt2k;Golden Tee 2K (v1.00);2000;Incredible Technologies;YES;-;NO;-;
gtg;Golden Tee Golf (Joystick, v3.1);1990;Strata/Incredible Technologies;YES;-;NO;-;
gunsmoke;Gun.Smoke (World, 851115);1985;Capcom;YES;-;NO;-;
gyruss;Gyruss (Konami);1983;Konami;YES;-;NO;-;
hangon;Hang-On (rev A);1985;Sega;YES;-;NO;-;
hangonjr;Hang-On Jr. [Graphics issues on the Game Over screen];1985;Sega;YES;-;NO;-;
hotrod;Hot Rod (World, 3 Players, Turbo set 1);1988;Sega;YES;-;NO;-;-
hsf2;Hyper Street Fighter II: The Anniversary Edition (USA 040202);2004;Capcom;YES;-;NO;-;
indytemp;Indiana Jones and the Temple of Doom (set 1);1985;Atari Games;YES;atarisy1;NO;-;
inthunt;In The Hunt (World);1993;Irem;YES;-;NO;-;
invaders;Space Invaders / Space Invaders M;1978;Taito / Midway;YES;-;NO;-;
invadpt2;Space Invaders Part II (Taito);1979;Taito;YES;-;NO;-;
joemacr;Joe & Mac Returns (World, Version 1.1, 1994.05.27);1994;Data East;YES;-;NO;-;
jojo;JoJo's Venture / JoJo no Kimyou na Bouken (USA 990128);1998;Capcom;YES;-;NO;-;
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927);1999;Capcom;YES;-;NO;-;
joust;Joust (White/Green label);1982;Williams;YES;-;NO;-;
joust2;Joust 2 - Survival of the Fittest (revision 2);1986;Williams;YES;-;NO;-;
jrpacman;Jr. Pac-Man (11/9/83);1983;Bally Midway;YES;-;NO;-;
junglek;Jungle King (Japan);1982;Taito Corporation;YES;-;NO;-;
junofrst;Juno First;1983;Konami;YES;-;NO;-;
karatour;The Karate Tournament;1992;Mitchell;YES;-;NO;-;
klax;Klax (set 1);1989;Atari Games;YES;-;NO;-;
kof2000;The King of Fighters 2000 (NGM-2570) (NGH-2570);2000;SNK;YES;neogeo;NO;-;
kof2001;The King of Fighters 2001 (NGM-262?);2001;SNK / Eolith;YES;neogeo;NO;-;
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);2002;Eolith / Playmore;YES;neogeo;NO;-;
kof2003;The King of Fighters 2003 (NGM-2710);2003;SNK Playmore;YES;neogeo;NO;-;
kof94;The King of Fighters '94 (NGM-055)(NGH-055);1994;SNK;YES;neogeo;NO;-;
kof95;The King of Fighters '95 (NGM-084);1995;SNK;YES;neogeo;NO;-;
kof96;The King of Fighters '96 (NGM-214);1996;SNK;YES;neogeo;NO;-;
kof97;The King of Fighters '97 (NGM-2320);1997;SNK;YES;neogeo;NO;-;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;YES;neogeo;NO;-;
kof99;The King of Fighters '99 - Millennium Battle (NGM-2510);1999;SNK;YES;neogeo;NO;-;
kotm;King of the Monsters (set 1);1991;SNK;YES;neogeo;NO;-;
kotm2;King of the Monsters 2 - The Next Thing (NGM-039)(NGH-039);1992;SNK;YES;neogeo;NO;-;
kov2;Knights of Valour 2 (V107, 102, 100, Hong Kong);2000;IGS;YES;pgm;NO;-;
kungfum;Kung-Fu Master;1984;Irem;YES;-;NO;-;
ladybug;Lady Bug;1981;Universal;YES;-;NO;-;
lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340);1997;SNK;YES;neogeo;NO;-;
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430);1998;SNK;YES;neogeo;NO;-;
lbowling;League Bowling (NGM-019)(NGH-019);1990;SNK;YES;neogeo;NO;-;
ldrun;Lode Runner (set 1);1984;Irem (licensed from Broderbund);YES;-;NO;-;
ldrun2;Lode Runner II - The Bungeling Strikes Back;1984;Irem (licensed from Broderbund);YES;-;NO;-;
ldrun4;Lode Runner IV - Teikoku Karano Dasshutsu;1986;Irem (licensed from Broderbund);YES;-;NO;-;
llander;Lunar Lander (rev 2);1979;Atari;YES;-;NO;-;-
locomotn;Loco-Motion;1982;Konami (Centuri license);YES;-;NO;-;
lwings;Legendary Wings (US set 1);1986;Capcom;YES;-;NO;-;
magdrop2;Magical Drop II;1996;Data East Corporation;YES;neogeo;NO;-;
magdrop3;Magical Drop III;1997;Data East Corporation;YES;neogeo;NO;-;
mappy;Mappy (US);1983;Namco;YES;-;NO;-;
marble;Marble Madness (set 1);1984;Atari Games;YES;atarisy1;NO;-;
mario;Mario Bros. (US, Revision F) [Imperfect sound];1983;Nintendo of America;YES;-;NO;-;
megaman;Mega Man - the power battle (951006 USA);1995;Capcom;YES;-;NO;-;
megaman2;Mega Man 2 - the power fighters (960708 USA);1996;Capcom;YES;-;NO;-;
mercs;Mercs (900302 etc);1990;Capcom;YES;-;NO;-;
milliped;Millipede;1982;Atari;YES;-;NO;-;
missile;Missile Command (rev 3);1980;Atari;YES;-;NO;-;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);1992;Midway;YES;-;NO;-;
mk2;Mortal Kombat II (rev L3.1);1993;Midway;YES;-;NO;-;
mk3;Mortal Kombat 3 (rev 2.1);1994;Midway;YES;-;NO;-;
mk4;Mortal Kombat 4 (version 3.0);1997;Midway;YES;-;NO;-;
mpatrol;Moon Patrol;1982;Irem;YES;-;NO;-;
mrdo;Mr. Do!;1982;Universal;YES;-;NO;-;
mshu;Marvel Super Heroes (951024 USA);1995;Capcom;NO;msh;YES;msh;
mshvsf;Marvel Super Heroes vs Street Fighter (970625 Euro);1997;Capcom;YES;-;NO;-;
mslug;Metal Slug - Super Vehicle-001;1996;Nazca;YES;neogeo;NO;-;
mslug2;Metal Slug 2 - Super Vehicle-001/II (NGM-2410) (NGH-2410);1998;SNK;YES;neogeo;NO;-;
mslug3;Metal Slug 3 (NGM-2560);2000;SNK;YES;neogeo;NO;-;
mslug4;Metal Slug 4 (NGM-2630);2002;Mega;YES;neogeo;NO;-;
mslug5;Metal Slug 5 (NGM-2680);2003;SNK Playmore;YES;neogeo;NO;-;
mslugx;Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500);1999;SNK;YES;neogeo;NO;-;
mspacman;MS Pacman;1980;Namco;YES;-;NO;-;
msword;Magic Sword - heroic fantasy (25.07.1990 other country);1990;Capcom;YES;-;NO;-;
mtrap;Mouse Trap (version 5);1981;Exidy;YES;-;NO;-;
mtwins;Mega Twins (chiki chiki boys 900619 etc);1990;Capcom;YES;-;NO;-;
mvsc;Marvel vs Capcom - clash of super heroes (980123 Euro);1998;Capcom;YES;-;NO;-;
mwalk;Michael Jackson's Moonwalker (set 3, World, FD1094/8751 317-0159);1990;Sega;YES;-;NO;-;
narc;Narc (rev 7.00);1988;Williams;YES;-;NO;-;
nbajam;NBA Jam (rev 3.01 04/07/93);1993;Midway;YES;-;NO;-;
nbamht;NBA Maximum Hangtime (rev 1.03 06/09/97);1996;Midway;YES;-;NO;-;
nbapbp;NBA Play By Play (ver JAA);1998;Konami;YES;-;NO;-;
nbbatman;Ninja Baseball Batman (World);1993;Irem;YES;-;NO;-;
nemesis;Nemesis (ROM version);1985;Konami;YES;-;NO;-;
neodrift;Neo Drift Out - New Technology;1996;Visco;YES;neogeo;NO;-;
neogeo;NeoGeo BIOS;-;-;YES;neogeo;NO;-;
nrallyx;New Rally X;1981;Namco;YES;-;NO;-;
nspirit;Ninja Spirit;1988;Irem;YES;-;NO;-;
offroad;Ironman Ivan Stewart's Super Off-Road;1989;Leland Corporation;YES;-;NO;-;
orunners;OutRunners (World);1992;Sega;YES;-;NO;-;
outrun;Out Run (set 3);1986;Sega;YES;-;NO;-;-
pacman;Pac-Man (Midway);1980;Namco (Midway license);NO;puckman;YES;puckman;
pang;Pang (World);1989;Mitchell;YES;-;NO;-;
paperboy;Paperboy (rev 3);1984;Atari Games;YES;-;NO;-;
parodius;Parodius DA! (World, set 1);1990;Konami;YES;-;NO;-;
pbobble;Puzzle Bobble (Japan, B-System);1994;Taito Corporation;YES;-;NO;-;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;Taito Corporation;YES;-;NO;-;
pdrift;Power Drift (World, Rev A) [Select Auto-Center preset in Input Configuration];1988;Sega;YES;-;NO;-;
pengo;Pengo (set 1 rev c);1982;Sega;YES;-;NO;-;
pepper2;Pepper II (version 8);1982;Exidy;YES;-;NO;-;
phoenix;Phoenix (Amstar);1980;Amstar;YES;-;NO;-;
pipedrm;Pipe Dream (World);1990;Video System Co.;YES;-;NO;-;
pitfall2;Pitfall II (315-5093);1985;Sega;YES;-;NO;-;
polepos;Pole Position (World);1982;Namco;YES;-;NO;-;
polepos2;Pole Position II (Japan);1983;Namco;YES;-;NO;-;
popeye;Popeye (revision D);1982;Nintendo;YES;-;NO;-;
punchout;Punch-Out!!;1984;Nintendo;YES;-;NO;-;-
punisher;The Punisher (930422 etc);1993;Capcom;YES;-;NO;-;
puyo;Puyo Puyo (World);1992;Compile / Sega;YES;-;NO;-;
puyopuy2;Puyo Puyo 2 (Japan);1994;Compile (Sega license);YES;-;NO;-;
qbert;Q*bert (US set 1);1982;Gottlieb;YES;-;NO;-;
qix;Qix (Rev 2);1981;Taito America Corporation;YES;-;NO;-;
radr;Rad Rally (World);1991;Sega;YES;-;NO;-;
raiden;Raiden (set 1);1990;Seibu Kaihatsu;YES;-;NO;-;
raiden2;Raiden II (US, set 1);1993;Seibu Kaihatsu (Fabtek license);YES;-;NO;-;
rallyx;Rally X (32k Ver.?);1980;Namco;YES;-;NO;-;
rampage;Rampage (Rev 3, 8/27/86);1986;Bally Midway;YES;-;NO;-;
rampart;Rampart (Trackball);1990;Atari Games;YES;-;NO;-;
rastan;Rastan (World Rev 1);1987;Taito Corporation Japan;YES;-;NO;-;
rbtapper;Tapper (Root Beer);1984;Bally Midway;NO;tapper;YES;tapper;
redbaron;Red Baron;1980;Atari;YES;-;NO;-;-
rmpgwt;Rampage: World Tour (rev 1.3);1997;Midway;YES;-;NO;-;
roadblst;Road Blasters (upright, rev 4);1987;Atari Games;YES;atarisy1;NO;-;
rthun2;Rolling Thunder 2;1990;Namco;YES;-;NO;-;
rthunder;Rolling Thunder (rev 3);1986;Namco;YES;-;NO;-;
rtype;R-Type (World);1987;Irem;YES;-;NO;-;
rtype2;R-Type II;1989;Irem;YES;-;NO;-;
rygar;Rygar (US set 1);1986;Tecmo;YES;-;NO;-;
salamand;Salamander (version D);1986;Konami;YES;-;NO;-;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);1993;SNK;YES;neogeo;NO;-;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);1994;SNK;YES;neogeo;NO;-;
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);1995;SNK;YES;neogeo;NO;-;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);1996;SNK;YES;neogeo;NO;-;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);2003;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;
samuraia;Samurai Aces (World);1993;Psikyo / Banpresto;YES;-;NO;-;
sci;Special Criminal Investigation (World set 1);1989;Taito Corporation Japan;YES;-;NO;-;
scontra;Super Contra;1988;Konami;YES;-;NO;-;
scramble;Scramble;1981;Konami;YES;-;NO;-;
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;1996;Technos;YES;neogeo;NO;-;
sf;Street Fighter (US, set 1);1987;Capcom;YES;-;NO;-;
sf2;Street Fighter II - The World Warrior (910522 etc);1991;Capcom;YES;-;NO;-;
sf2ce;Street Fighter II' - Champion Edition (street fighter 2' 920513 etc);1992;Capcom;YES;-;NO;-;
sf2hf;Street Fighter II' - Hyper Fighting (street fighter 2' T 921209 ETC);1992;Capcom;YES;-;NO;-;
sfa;Street Fighter Alpha - warriors' dreams (950727 Euro);1995;Capcom;YES;-;NO;-;
sfa2;Street Fighter Alpha 2 (960229 Euro);1996;Capcom;YES;-;NO;-;
sfa3;Street Fighter Alpha 3 (980904 Euro);1998;Capcom;YES;-;NO;-;
sfiii;Street Fighter III: New Generation (Euro 970204);1997;Capcom;YES;-;NO;-;
sfiii2;Street Fighter III 2nd Impact: Giant Attack (USA 970930);1997;Capcom;YES;-;NO;-;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future (Euro 990608);1999;Capcom;YES;-;NO;-;
shangon;Super Hang-On (sitdown/upright, unprotected);1987;Sega;YES;-;NO;-;
sharrier;Space Harrier (Rev A, 8751 315-5163A);1985;Sega;YES;-;NO;-;
shdancer;Shadow Dancer (set 3, US);1989;Sega;YES;-;NO;-;
shinobi;Shinobi (set 6, System 16A) (unprotected);1987;Sega;YES;-;NO;-;
shocktr2;Shock Troopers - 2nd Squad;1998;Saurus;YES;neogeo;NO;-;
shocktro;Shock Troopers (set 1);1997;Saurus;YES;neogeo;NO;-;
simpsons;The Simpsons (4 Players World, set 1);1991;Konami;YES;-;NO;-;
snowbros;Snow Bros. - Nick & Tom (set 1);1990;Toaplan;YES;-;NO;-;
solomon;Solomon's Key (US);1986;Tecmo;YES;-;NO;-;
spacduel;Space Duel;1980;Atari;YES;-;NO;-;-
spacedx;Space Invaders DX (US, v2.1);1994;Taito Corporation;YES;-;NO;-;
spang;Super Pang (World 900914);1990;Mitchell;YES;-;NO;-;
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);1995;Taito Corporation Japan;YES;-;NO;-;-
spdodgeb;Super Dodge Ball (US);1987;Technos Japan;YES;-;NO;-;
spf2t;Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 Turbo 960529 Euro);1996;Capcom;YES;-;NO;-;
splatter;Splatter House (World, new version (SH3));1988;Namco;YES;-;NO;-;
spyhunt;Spy Hunter;1983;Bally Midway;YES;-;NO;-;
ssf2;Super Street Fighter II - the new challengers (super street fighter 2 931005 etc);1993;Capcom;YES;-;NO;-;
ssriders;Sunset Riders (4 Players ver. EAC);1991;Konami;YES;-;NO;-;
starcas;Star Castle (version 3);1980;Cinematronics;YES;-;NO;-;-
stargate;Stargate;1981;Williams / Vid Kidz;YES;-;NO;-;
startrek;Star Trek;1982;Sega;YES;-;NO;-;-
starwars;Star Wars (rev 2);1983;Atari;YES;-;NO;-;-
strider;Strider (US set 1);1989;Capcom;YES;-;NO;-;
strkfgtr;Strike Fighter (World);1991;Sega;YES;-;NO;-;
superpac;Super Pac-Man;1982;Namco;YES;-;NO;-;
svc;SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690);2003;SNK Playmore;YES;neogeo;NO;-;
swcourt;Super World Court (World);1992;Namco;YES;-;NO;-;
tbowl;Tecmo Bowl (World?);1987;Tecmo;YES;-;NO;-;
tempest;Tempest (rev 3);1980;Atari;YES;-;NO;-;-
tetris;Tetris (set 4, Japan, System 16A, FD1094 317-0093);1988;Sega;YES;-;NO;-;
tgm2;Tetris the Absolute The Grand Master 2;2000;Arika;YES;-;NO;-;
timeplt;Time Pilot;1982;Konami;YES;-;NO;-;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players, version X);1989;Konami;YES;-;NO;-;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA);1991;Konami;YES;-;NO;-;
toki;Toki (World, set 1);1989;TAD Corporation;YES;-;NO;-;
toutrun;Turbo Out Run (set 3, upgrade kit, FD1094 317-0118);1989;Sega;YES;-;NO;-;-
trackfld;Track & Field;1983;Konami;YES;-;NO;-;
tron;Tron (8/9);1982;Bally Midway;YES;-;NO;-;
turbo;Turbo (program 1513-1515);1981;Sega;YES;-;NO;-;
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Nazca;YES;neogeo;NO;-;
twinspri;Twinkle Star Sprites;1996;ADK;YES;neogeo;NO;-;
ultennis;Ultimate Tennis;1993;Art & Magic;YES;-;NO;-;
vanguard;Vanguard (SNK);1981;SNK;YES;-;NO;-;
wb3;Wonder Boy III - Monster Lair (set 6, World, System 16B, 8751 317-0098);1988;Sega / Westone;YES;-;NO;-;
wbml;Wonder Boy in Monster Land (Japan New Ver., MC-8123, 317-0043);1987;Sega / Westone;YES;-;NO;-;
wboy;Wonder Boy (set 1, 315-5177);1986;Sega (Escape License);YES;-;NO;-;
willow;Willow (World);1989;Capcom;YES;-;NO;-;
wjammers;Windjammers / Flying Power Disc;1994;Data East Corporation;YES;neogeo;NO;-;
wrally;World Rally (Version 1.0, Checksum 0E56);1993;Gaelco;YES;-;NO;-;
xevious;Xevious (Namco);1982;Namco;YES;-;NO;-;
xmcota;X-Men - children of the atom (950331 Euro);1995;Capcom;YES;-;NO;-;
xmen;X-Men (4 Players ver UBB);1992;Konami;YES;-;NO;-;
xmvsf;X-Men vs Street Fighter (961004 Euro);1996;Capcom;YES;-;NO;-;
zaxxon;Zaxxon (set 1, rev D);1982;Sega;YES;-;NO;-;
