name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);1996;Taito Corporation;YES;-;NO;-;-
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;Taito Corporation;YES;-;NO;-;-
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);1994;Taito;YES;neogeo;NO;-;-
penbros;Penguin Brothers (Japan);2000;Subsino;YES;-;NO;-;-
photoy2k;Photo Y2K / Real and Fake (V105);1999;IGS;YES;pgm;NO;-;-
plotting;Plotting (World set 1);1989;Taito Corporation Japan;YES;-;NO;-;-
pnyaa;Pochi and Nyaa;2003;Aiky / Taito;YES;neogeo;NO;-;-
popnpop;Pop'n Pop (Ver 2.07O 1998/02/09);1997;Taito Corporation;YES;-;NO;-;-
preisle2;Prehistoric Isle 2;1999;Yumekobo;YES;neogeo;NO;-;-
progear;Progear (010117 USA);2001;Capcom / Cave;YES;-;NO;-;-
puchicar;Puchi Carat (Ver 2.02O 1997/10/29);1997;Taito Corporation;YES;-;NO;-;-
punisher;The Punisher (930422 etc);1993;Capcom;YES;-;NO;-;-
puzzli2;Puzzli 2 (V100) [Incomplete dump];1999;IGS;YES;pgm;NO;-;-
puzzloop;Puzz Loop (Europe, v0.94);1998;Mitchell;YES;skns;NO;-;-
pzlbreak;Puzzle Break;1997;SemiCom;YES;-;NO;-;-
pzloop2;Puzz Loop 2 (010302 Euro);2001;Mitchell, distritued by Capcom;YES;-;NO;-;-
r2dx_v33;Raiden II New / Raiden DX (newer V33 PCB) (Raiden DX EEPROM) [Terrible sound quality is normal for this game, use Raiden DX instead!];1996;Seibu Kaihatsu;YES;-;NO;-;-
raiden;Raiden (set 1);1990;Seibu Kaihatsu;YES;-;NO;-;-
raiden2;Raiden II (US, set 1);1993;Seibu Kaihatsu (Fabtek license);YES;-;NO;-;-
rbff1;Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095)(NGH-095);1995;SNK;YES;neogeo;NO;-;-
rbff2;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (NGM-2400);1998;SNK;YES;neogeo;NO;-;-
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;SNK;YES;neogeo;NO;-;-
redearth;Red Earth / War-Zard (Euro 961121);1996;Capcom;YES;-;NO;-;-
rmpgwt;Rampage: World Tour (rev 1.3);1997;Midway;YES;-;NO;-;-
rotd;Rage of the Dragons (NGM-264?);2002;Evoga / Playmore;YES;neogeo;NO;-;-
rthun2;Rolling Thunder 2;1990;Namco;YES;-;NO;-;-
rtypeleo;R-Type Leo (World);1992;Irem;YES;-;NO;-;-
s1945;Strikers 1945;1995;Psikyo;YES;-;NO;-;-
s1945ii;Strikers 1945 II;1997;Psikyo;YES;-;NO;-;-
s1945iii;Strikers 1945 III (World) / Strikers 1999 (Japan);1999;Psikyo;YES;-;NO;-;-
s1945p;Strikers 1945 Plus;1999;Psikyo;YES;neogeo;NO;-;-
salamand;Salamander (version D);1986;Konami;YES;-;NO;-;-
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);2004;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-
samsho;Samurai Shodown / Samurai Spirits (NGM-045);1993;SNK;YES;neogeo;NO;-;-
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);1994;SNK;YES;neogeo;NO;-;-
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);1996;SNK;YES;neogeo;NO;-;-
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);2003;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-
samuraia;Samurai Aces (World);1993;Psikyo / Banpresto;YES;-;NO;-;-
scontra;Super Contra;1988;Konami;YES;-;NO;-;-
sengekis;Sengeki Striker (Asia);1997;Kaneko / Warashi;YES;skns;NO;-;-
sf;Street Fighter (US, set 1);1987;Capcom;YES;-;NO;-;-
sf2;Street Fighter II - The World Warrior (910522 etc);1991;Capcom;YES;-;NO;-;-
sf2ce;Street Fighter II' - Champion Edition (street fighter 2' 920513 etc);1992;Capcom;YES;-;NO;-;-
sf2hf;Street Fighter II' - Hyper Fighting (street fighter 2' T 921209 ETC);1992;Capcom;YES;-;NO;-;-
sfa;Street Fighter Alpha - warriors' dreams (950727 Euro);1995;Capcom;YES;-;NO;-;-
sfa2;Street Fighter Alpha 2 (960229 Euro);1996;Capcom;YES;-;NO;-;-
sfa3;Street Fighter Alpha 3 (980904 Euro);1998;Capcom;YES;-;NO;-;-
sfiii;Street Fighter III: New Generation (Euro 970204);1997;Capcom;YES;-;NO;-;-
sfiii2;Street Fighter III 2nd Impact: Giant Attack (USA 970930);1997;Capcom;YES;-;NO;-;-
sfiii3;Street Fighter III 3rd Strike: Fight for the Future (Euro 990608);1999;Capcom;YES;-;NO;-;-
sfz2al;Street Fighter Zero 2 Alpha (960826 Asia);1996;Capcom;YES;-;NO;-;-
sgemf;Super Gem Fighter Mini Mix (970904 USA);1997;Capcom;YES;-;NO;-;-
shocktr2;Shock Troopers - 2nd Squad;1998;Saurus;YES;neogeo;NO;-;-
shocktro;Shock Troopers (set 1);1997;Saurus;YES;neogeo;NO;-;-
silkroad;The Legend of Silkroad;1999;Unico;YES;-;NO;-;-
simpsons;The Simpsons (4 Players World, set 1);1991;Konami;YES;-;NO;-;-
snowbro2;Snow Bros. 2 - with new elves;1994;[Toaplan] Hanafram;YES;-;NO;-;-
snowbro3;Snow Brothers 3 - Magical Adventure [Bootleg];2002;bootleg;YES;-;NO;-;-
snowbros;Snow Bros. - Nick & Tom (set 1);1990;Toaplan;YES;-;NO;-;-
sonson;Son Son;1984;Capcom;YES;-;NO;-;-
spacedx;Space Invaders DX (US, v2.1);1994;Taito Corporation;YES;-;NO;-;-
spang;Super Pang (World 900914);1990;Mitchell;YES;-;NO;-;-
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);1995;Taito Corporation Japan;YES;-;NO;-;-
spf2t;Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 Turbo 960529 Euro);1996;Capcom;YES;-;NO;-;-
ssf2;Super Street Fighter II - the new challengers (super street fighter 2 931005 etc);1993;Capcom;YES;-;NO;-;-
ssf2t;Super Street Fighter II Turbo (super street fighter 2 X 940223 etc);1994;Capcom;YES;-;NO;-;-
ssideki4;The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero;1996;SNK;YES;neogeo;NO;-;-
ssriders;Sunset Riders (4 Players ver. EAC);1991;Konami;YES;-;NO;-;-
svc;SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690);2003;SNK Playmore;YES;neogeo;NO;-;-
svcpcb;SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1);2003;SNK Playmore;YES;-;NO;-;-
svg;S.V.G. - Spectral vs Generation (V200, China);2005;IGS;YES;pgm;NO;-;-
tbowl;Tecmo Bowl (World?);1987;Tecmo;YES;-;NO;-;-
tgm2;Tetris the Absolute The Grand Master 2;2000;Arika;YES;-;NO;-;-
tmnt;Teenage Mutant Ninja Turtles (World 4 Players, version X);1989;Konami;YES;-;NO;-;-
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA);1991;Konami;YES;-;NO;-;-
toypop;Toypop;1986;Namco;YES;-;NO;-;-
truxton2;Truxton II;1992;Toaplan;YES;-;NO;-;-
tumblep;Tumble Pop (World);1991;Data East Corporation;YES;-;NO;-;-
uccops;Undercover Cops (World);1992;Irem;YES;-;NO;-;-
umk3;Ultimate Mortal Kombat 3 (rev 1.2);1994;Midway;YES;-;NO;-;-
varth;Varth - operation thunderstorm (920714 etc);1992;Capcom;YES;-;NO;-;-
vasara;Vasara;2000;Visco;YES;-;NO;-;-
vasara2;Vasara 2 (set 1);2001;Visco;YES;-;NO;-;-
vendetta;Vendetta (World, 4 Players ver. T);1991;Konami;YES;-;NO;-;-
vhunt2;Vampire Hunter 2 - darkstalkers revenge (970929 Japan);1997;Capcom;YES;-;NO;-;-
viewpoin;Viewpoint;1992;Sammy / Aicom;YES;neogeo;NO;-;-
vimana;Vimana (World, set 1);1991;Toaplan;YES;-;NO;-;-
viostorm;Violent Storm (ver EAC);1993;Konami;YES;-;NO;-;-
vsav;Vampire Savior - the lord of vampire (970519 Euro);1997;Capcom;YES;-;NO;-;-
vsav2;Vampire Savior 2 - the lord of vampire (970913 Japan);1997;Capcom;YES;-;NO;-;-
wakuwak7;Waku Waku 7;1996;Sunsoft;YES;neogeo;NO;-;-
wb3;Wonder Boy III - Monster Lair (set 6, World, System 16B, 8751 317-0098);1988;Sega / Westone;YES;-;NO;-;-
welltris;Welltris - Alexey Pajitnov's (World?, 2 players);1991;Video System Co.;YES;-;NO;-;-
xexex;Xexex (ver EAA);1991;Konami;YES;-;NO;-;-
xmcota;X-Men - children of the atom (950331 Euro);1995;Capcom;YES;-;NO;-;-
xmen;X-Men (4 Players ver UBB);1992;Konami;YES;-;NO;-;-
xmvsf;X-Men vs Street Fighter (961004 Euro);1996;Capcom;YES;-;NO;-;-
zerowing;Zero Wing (2P set);1989;Toaplan;YES;-;NO;-;-
zupapa;Zupapa!;2001;SNK;YES;neogeo;NO;-;-
