name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
idhimitu;-;Idol no Himitsu [BET] (Japan 890304);YES;NO;Digital Soft;-;-;1989;
msjiken;-;Mahjong Satsujin Jiken (Japan 881017);YES;NO;Nichibutsu;-;-;1988;
hanamomo;-;Mahjong Hana no Momoko gumi (Japan 881201);YES;NO;Nichibutsu;-;-;1988;
telmahjn;-;Telephone Mahjong (Japan 890111);YES;NO;Nichibutsu;-;-;1988;
gionbana;-;Gionbana (Japan 890120);YES;NO;Nichibutsu;-;-;1989;
mjfocus;-;Mahjong Focus (Japan 890313);YES;NO;Nichibutsu;-;-;1989;
mjfocusm;mjfocus;Mahjong Focus [BET] (Japan 890510);NO;YES;Nichibutsu;mjfocus;-;1989;
peepshow;mjfocus;Nozokimeguri Mahjong Peep Show (Japan 890404);NO;YES;AC;mjfocus;-;1989;
scandal;-;Scandal Mahjong (Japan 890213);YES;NO;Nichibutsu;-;-;1989;
scandalm;scandal;Scandal Mahjong [BET] (Japan 890217);NO;YES;Nichibutsu;scandal;-;1989;
mgmen89;-;Mahjong G-MEN'89 (Japan 890425);YES;NO;Nichibutsu;-;-;1989;
mjnanpas;-;Mahjong Nanpa Story (Japan 890713);YES;NO;BROOKS;-;-;1989;
mjnanpaa;mjnanpas;Mahjong Nanpa Story (Japan 890712);NO;YES;BROOKS;mjnanpas;-;1989;
mjnanpau;mjnanpas;Mahjong Nanpa Story (Ura) (Japan 890805);NO;YES;BROOKS;mjnanpas;-;1989;
pairsten;-;Pairs (System Ten) (Japan 890826);YES;NO;System Ten;-;-;1989;
bananadr;-;Mahjong Banana Dream [BET] (Japan 891124);YES;NO;Digital Soft;-;-;1989;
mladyhtr;-;Mahjong THE LADY HUNTER (Japan 900509);YES;NO;Nichibutsu;-;-;1990;
chinmoku;-;Mahjong Chinmoku no Hentai (Japan 900511);YES;NO;Nichibutsu;-;-;1990;
maiko;-;Maikobana (Japan 900802);YES;NO;Nichibutsu;-;-;1990;
club90s;-;Mahjong CLUB 90's (set 1) (Japan 900919);YES;NO;Nichibutsu;-;-;1990;
club90sa;club90s;Mahjong CLUB 90's (set 2) (Japan 900919);NO;YES;Nichibutsu;club90s;-;1990;
hanaoji;-;Hana to Ojisan [BET] (Japan 911209);YES;NO;Nichibutsu;-;-;1991;
pstadium;-;Mahjong Panic Stadium (Japan);YES;NO;Nichibutsu;-;-;1990;
triplew1;-;Mahjong Triple Wars (Japan);YES;NO;Nichibutsu;-;-;1989;
triplew2;-;Mahjong Triple Wars 2 (Japan);YES;NO;Nichibutsu;-;-;1990;
ntopstar;-;Mahjong Nerae! Top Star (Japan);YES;NO;Nichibutsu;-;-;1990;
mjlstory;-;Mahjong Jikken Love Story (Japan);YES;NO;Nichibutsu;-;-;1991;
vanilla;-;Mahjong Vanilla Syndrome (Japan);YES;NO;Nichibutsu;-;-;1991;
finalbny;vanilla;Mahjong Final Bunny [BET] (Japan);NO;YES;Nichibutsu;vanilla;-;1991;
qmhayaku;-;Quiz-Mahjong Hayaku Yatteyo! (Japan);YES;NO;Nichibutsu;-;-;1991;
galkoku;-;Mahjong Gal no Kokuhaku (Japan);YES;NO;Nichibutsu/T.R.TEC;-;-;1989;
hyouban;galkoku;Mahjong Hyouban Musume [BET] (Japan);NO;YES;Nichibutsu/T.R.TEC;galkoku;-;1989;
galkaika;-;Mahjong Gal no Kaika (Japan);YES;NO;Nichibutsu/T.R.TEC;-;-;1989;
tokyogal;-;Tokyo Gal Zukan (Japan);YES;NO;Nichibutsu;-;-;1989;
tokimbsj;tokyogal;Tokimeki Bishoujo [BET] (Japan);NO;YES;Nichibutsu;tokyogal;-;1989;
mcontest;-;Miss Mahjong Contest (Japan);YES;NO;Nichibutsu;-;-;1989;
uchuuai;-;Mahjong Uchuu yori Ai wo komete (Japan);YES;NO;Nichibutsu;-;-;1989;
av2mj1bb;-;AV2Mahjong No.1 Bay Bridge no Seijo (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
av2mj2rg;-;AV2Mahjong No.2 Rouge no Kaori (Japan);YES;NO;MIKI SYOUJI/AV JAPAN;-;-;1991;
mjuraden;-;Mahjong Uranai Densetsu (Japan);YES;NO;Nichibutsu/Yubis;-;-;1992;
koinomp;-;Mahjong Koi no Magic Potion (Japan);YES;NO;Nichibutsu;-;-;1992;
patimono;-;Mahjong Pachinko Monogatari (Japan);YES;NO;Nichibutsu;-;-;1992;
mjanbari;-;Medal Mahjong Janjan Baribari [BET] (Japan);YES;NO;Nichibutsu/Yubis/AV JAPAN;-;-;1992;
ultramhm;-;Ultra Maru-hi Mahjong (Japan);YES;NO;Apple;-;-;1993;
gal10ren;-;Mahjong Gal 10-renpatsu (Japan);YES;NO;FUJIC;-;-;1993;
renaiclb;-;Mahjong Ren-ai Club (Japan);YES;NO;FUJIC;-;-;1993;
mjlaman;-;Mahjong La Man (Japan);YES;NO;Nichibutsu/AV JAPAN;-;-;1993;
mkeibaou;-;Mahjong Keibaou (Japan);YES;NO;Nichibutsu;-;-;1993;
pachiten;-;Medal Mahjong Pachi-Slot Tengoku [BET] (Japan);YES;NO;Nichibutsu/MIKI SYOUJI/AV JAPAN;-;-;1993;
sailorws;-;Mahjong Sailor Wars (Japan);YES;NO;Nichibutsu;-;-;1993;
sailorwr;sailorws;Mahjong Sailor Wars-R [BET] (Japan);NO;YES;Nichibutsu;sailorws;-;1993;
psailor1;-;Bishoujo Janshi Pretty Sailor 18-kin (Japan);YES;NO;SPHINX;-;-;1994;
psailor2;-;Bishoujo Janshi Pretty Sailor 2 (Japan);YES;NO;SPHINX;-;-;1994;
otatidai;-;Disco Mahjong Otachidai no Okite (Japan);YES;NO;SPHINX;-;-;1995;
ngpgal;-;Nekketsu Grand-Prix Gal (Japan);YES;NO;Nichibutsu;-;-;1991;
mjgottsu;-;Mahjong Gottsu ee-kanji (Japan);YES;NO;Nichibutsu;-;-;1991;
bakuhatu;mjgottsu;Mahjong Bakuhatsu Junjouden (Japan);NO;YES;Nichibutsu;mjgottsu;-;1991;
cmehyou;-;Mahjong Circuit no Mehyou (Japan);YES;NO;Nichibutsu/Kawakusu;-;-;1992;
mmehyou;-;Medal Mahjong Circuit no Mehyou [BET] (Japan);YES;NO;Nichibutsu/Kawakusu;-;-;1992;
mjkoiura;-;Mahjong Koi Uranai (Japan);YES;NO;Nichibutsu;-;-;1992;
imekura;-;Imekura Mahjong (Japan);YES;NO;SPHINX/AV JAPAN;-;-;1994;
mscoutm;-;Mahjong Scout Man (Japan);YES;NO;SPHINX/AV JAPAN;-;-;1994;
mjegolf;-;Mahjong Erotica Golf (Japan);YES;NO;FUJIC/AV JAPAN;-;-;1994;
niyanpai;-;Niyanpai (Japan);YES;NO;Nichibutsu;-;-;1996;
survival;-;Survival;YES;NO;Rock-ola;-;-;1982;
naughtya;naughtyb;Naughty Boy (bootleg);NO;YES;bootleg;naughtyb;-;1982;
naughtyc;naughtyb;Naughty Boy (Cinematronics);NO;YES;Jaleco (Cinematronics license);naughtyb;-;1982;
popflama;popflame;Pop Flamer (not protected);NO;YES;Jaleco;popflame;-;1982;
popflamb;popflame;Pop Flamer (hack[Q]);NO;YES;Jaleco;popflame;-;1982;
navalone;-;Navarone;YES;NO;Namco;-;-;1980;
tankbatt;-;Tank Battalion;YES;NO;Namco;-;-;1980;
warpwarr;warpwarp;Warp Warp (Rock-ola set 1);NO;YES;[Namco] (Rock-ola license);warpwarp;-;1981;
warpwar2;warpwarp;Warp Warp (Rock-ola set 2);NO;YES;[Namco] (Rock-ola license);warpwarp;-;1981;
junglers;jungler;Jungler (Stern);NO;YES;[Konami] (Stern license);jungler;-;1981;
tactcan2;tactcian;Tactician (set 2);NO;YES;[Konami] (Sega license);tactcian;-;1981;
bosco;-;Bosconian (new version);YES;NO;Namco;-;-;1981;
boscoo;bosco;Bosconian (old version);NO;YES;Namco;bosco;bosco;1981;
boscoo2;bosco;Bosconian (older version);NO;YES;Namco;bosco;bosco;1981;
boscomd;bosco;Bosconian (Midway, new version);NO;YES;Namco (Midway license);bosco;bosco;1981;
boscomdo;bosco;Bosconian (Midway, old version);NO;YES;Namco (Midway license);bosco;bosco;1981;
gatsbee;galaga;Gatsbee;NO;YES;hack (Uchida);galaga;galaga;1984;
digdugb;digdug;Dig Dug (rev 1);NO;YES;Namco;digdug;-;1982;
digduga1;digdug;Dig Dug (Atari, rev 1);NO;YES;Namco (Atari license);digdug;-;1982;
dzigzag;digdug;Zig Zag (Dig Dug hardware);NO;YES;bootleg;digdug;-;1982;
xeviousa;xevious;Xevious (Atari set 1);NO;YES;Namco (Atari license);xevious;xevious;1982;
xeviousb;xevious;Xevious (Atari set 2);NO;YES;Namco (Atari license);xevious;xevious;1982;
xeviousc;xevious;Xevious (Atari set 3);NO;YES;Namco (Atari license);xevious;xevious;1982;
xevios;xevious;Xevios;NO;YES;bootleg;xevious;xevious;1982;
battles;xevious;Battles;NO;YES;bootleg;xevious;-;1982;
superpcm;superpac;Super Pac-Man (Midway);NO;YES;[Namco] (Bally Midway license);superpac;-;1982;
todruago;todruaga;Tower of Druaga (Old Ver.);NO;YES;Namco;todruaga;-;1984;
gapluso;gaplus;Gaplus (rev. B);NO;YES;Namco;gaplus;galaga;1984;
polepos;-;Pole Position;YES;NO;Namco;-;-;1982;
poleposa;polepos;Pole Position (Atari version 2);NO;YES;Namco (Atari license);polepos;polepos;1982;
polepos1;polepos;Pole Position (Atari version 1);NO;YES;[Namco] (Atari license);polepos;polepos;1982;
topracer;polepos;Top Racer;NO;YES;bootleg;polepos;polepos;1982;
polepos2;-;Pole Position II;YES;NO;Namco;-;polepos;1983;
poleps2a;polepos2;Pole Position II (Atari);NO;YES;Namco (Atari license);polepos2;polepos;1983;
poleps2b;polepos2;Pole Position II (bootleg);NO;YES;bootleg;polepos2;polepos;1983;
pacland2;pacland;Pac-Land (set 2);NO;YES;Namco;pacland;-;1984;
pacland3;pacland;Pac-Land (set 3);NO;YES;Namco;pacland;-;1984;
baraduka;baraduke;Baraduke (set 2);NO;YES;Namco;baraduke;-;1985;
metrocra;metrocrs;Metro-Cross (set 2);NO;YES;Namco;metrocrs;-;1985;
skykiddo;skykiddx;Sky Kid Deluxe (set 2);NO;YES;Namco;skykiddx;-;1986;
rthundro;rthunder;Rolling Thunder (old version);NO;YES;Namco;rthunder;-;1986;
youkaidk;shadowld;Yokai Douchuuki (Japan new version);NO;YES;Namco;shadowld;-;1987;
yokaidko;shadowld;Yokai Douchuuki (Japan old version);NO;YES;Namco;shadowld;-;1987;
dspirito;dspirit;Dragon Spirit (old version);NO;YES;Namco;dspirit;-;1987;
pacmanij;pacmania;Pac-Mania (Japan);NO;YES;Namco;pacmania;-;1987;
galag88b;galaga88;Galaga '88 (set 2);NO;YES;Namco;galaga88;-;1987;
galag88j;galaga88;Galaga '88 (Japan);NO;YES;Namco;galaga88;-;1987;
beraboho;berabohm;Beraboh Man (Japan version B);NO;YES;Namco;berabohm;-;1988;
tankfrcj;tankfrce;Tank Force (Japan);NO;YES;Namco;tankfrce;-;1991;
finalapd;finallap;Final Lap (Rev D);NO;YES;Namco;finallap;-;1987;
finalapc;finallap;Final Lap (Rev C);NO;YES;Namco;finallap;-;1987;
finlapjc;finallap;Final Lap (Japan - Rev C);NO;YES;Namco;finallap;-;1987;
finlapjb;finallap;Final Lap (Japan - Rev B);NO;YES;Namco;finallap;-;1987;
marvlanj;marvland;Marvel Land (Japan);NO;YES;Namco;marvland;-;1989;
kyukaido;kyukaidk;Kyuukai Douchuuki (Japan old version);NO;YES;Namco;kyukaidk;-;1990;
finalp2j;finalap2;Final Lap 2 (Japan);NO;YES;Namco;finalap2;-;1990;
sgunnr2j;sgunner2;Steel Gunner 2 (Japan);NO;YES;Namco;sgunner2;-;1991;
cosmognj;cosmogng;Cosmo Gang the Video (Japan);NO;YES;Namco;cosmogng;-;1991;
finalp3a;finalap3;Final Lap 3 (World);NO;YES;Namco;finalap3;-;1992;
suzuk8hj;suzuka8h;Suzuka 8 Hours (Japan);NO;YES;Namco;suzuka8h;-;1992;
cgangpzj;cgangpzl;Cosmo Gang the Puzzle (Japan);NO;YES;Namco;cgangpzl;-;1992;
knckhedj;knckhead;Knuckle Heads (Japan);NO;YES;Namco;knckhead;-;1992;
emerldaa;emeralda;Emeraldia (Japan);NO;YES;Namco;emeralda;-;1993;
numanatj;numanath;Numan Athletics (Japan);NO;YES;Namco;numanath;-;1993;
nebulryj;nebulray;Nebulas Ray (Japan);NO;YES;Namco;nebulray;-;1994;
gunbulet;ptblank;Gun Bullet (Japan);NO;YES;Namco;ptblank;-;1994;
outfxesj;outfxies;Outfoxies (Japan);NO;YES;Namco;outfxies;-;1994;
ncv1;-;Namco Classics Collection Vol.1;YES;NO;Namco;-;-;1995;
ncv1j;ncv1;Namco Classics Collection Vol.1 (Japan set 1);NO;YES;Namco;ncv1;-;1995;
ncv1j2;ncv1;Namco Classics Collection Vol.1 (Japan set 2);NO;YES;Namco;ncv1;-;1995;
ncv2;-;Namco Classics Collection Vol.2;YES;NO;Namco;-;-;1996;
ncv2j;ncv2;Namco Classics Collection Vol.2 (Japan);NO;YES;Namco;ncv2;-;1996;
winrun91;-;Winning Run 91;YES;NO;Namco;-;-;1991;
solvalou;-;Solvalou (Japan);YES;NO;Namco;-;-;1991;
starblad;-;Starblade;YES;NO;Namco;-;-;1991;
aircombj;-;Air Combat (Japan);YES;NO;Namco;-;-;1992;
aircombu;aircombj;Air Combat (US);NO;YES;Namco;aircombj;-;1992;
cybsled;-;Cyber Sled;YES;NO;Namco;-;-;1993;
alpinerd;-;Alpine Racer (Rev. AR2 Ver.D);YES;NO;Namco;-;-;1995;
alpinerc;alpinerd;Alpine Racer (Rev. AR2 Ver.C);NO;YES;Namco;alpinerd;-;1995;
raveracw;-;Rave Racer (Rev. RV2, World);YES;NO;Namco;-;-;1995;
ridgeraj;-;Ridge Racer (Rev. RR1, Japan);YES;NO;Namco;-;-;1993;
ridger2j;-;Ridge Racer 2 (Rev. RRS1, Japan);YES;NO;Namco;-;-;1994;
acedrvrw;-;Ace Driver (Rev. AD2, World);YES;NO;Namco;-;-;1994;
victlapw;-;Ace Driver - Victory Lap (Rev. ADV2, World);YES;NO;Namco;-;-;1996;
cybrcomm;-;Cyber Commando (Rev. CY1, Japan);YES;NO;Namco;-;-;1995;
airco22b;-;Air Combat 22 (Rev. ACS1 Ver.B);YES;NO;Namco;-;-;1995;
cybrcycc;-;Cyber Cycles (Rev. CB2 Ver.C);YES;NO;Namco;-;-;1995;
timecrsa;-;Time Crisis (Rev. TS2 Ver.A);YES;NO;Namco;-;-;1995;
propcycl;-;Prop Cycle (Rev PR2 Ver.A);YES;NO;Namco;-;-;1996;
cosmicg;-;Cosmic Guerilla;YES;NO;Universal;-;-;1979;
cosmica;-;Cosmic Alien;YES;NO;Universal;-;-;1979;
cosmica2;cosmica;Cosmic Alien (older);NO;YES;Universal;cosmica;cosmica;1979;
panic;-;Space Panic (version E);YES;NO;Universal;-;-;1980;
panic2;panic;Space Panic (set 2);NO;YES;Universal;panic;panic;1980;
panic3;panic;Space Panic (set 3);NO;YES;Universal;panic;panic;1980;
panich;panic;Space Panic (harder);NO;YES;Universal;panic;panic;1980;
panicger;panic;Space Panic (German);NO;YES;Universal (ADP Automaten license);panic;panic;1980;
redclask;redclash;Red Clash (Kaneko);NO;YES;Kaneko;redclash;-;1981;
magspot;-;Magical Spot;YES;NO;Universal;-;-;1980;
magspot2;-;Magical Spot II;YES;NO;Universal;-;-;1980;
devzone;-;Devil Zone;YES;NO;Universal;-;-;1980;
devzone2;devzone;Devil Zone (easier);NO;YES;Universal;devzone;-;1980;
nomnlnd;-;No Man's Land;YES;NO;Universal;-;-;1980;
nomnlndg;nomnlnd;No Man's Land (Gottlieb);NO;YES;Universal (Gottlieb license);nomnlnd;-;1980;
docastl2;docastle;Mr. Do's Castle (set 2);NO;YES;Universal;docastle;-;1983;
docastlo;docastle;Mr. Do's Castle (older);NO;YES;Universal;docastle;-;1983;
dorunru2;dorunrun;Do! Run Run (set 2);NO;YES;Universal;dorunrun;-;1984;
dorunruc;dorunrun;Do! Run Run (Do's Castle hardware);NO;YES;Universal;dorunrun;-;1984;
idsoccer;-;Indoor Soccer;YES;NO;Universal;-;-;1985;
spacefev;-;Space Fever (New Ver);YES;NO;Nintendo;-;-;1979;
spacefevo;spacefev;Space Fever (Old Ver);NO;YES;Nintendo;spacefev;-;1979;
highsplt;-;Space Fever High Splitter (set 1);YES;NO;Nintendo;-;-;1979;
highspla;highsplt;Space Fever High Splitter (set 2);NO;YES;Nintendo;highsplt;-;1979;
spacelnc;-;Space Launcher;YES;NO;Nintendo;-;-;1979;
sheriff;-;Sheriff;YES;NO;Nintendo;-;-;1979;
bandido;sheriff;Bandido;NO;YES;Exidy;sheriff;-;1980;
helifire;-;HeliFire (set 1);YES;NO;Nintendo;-;-;1980;
helifira;helifire;HeliFire (set 2);NO;YES;Nintendo;helifire;-;1980;
dkongjp;dkong;Donkey Kong (Japan set 1);NO;YES;Nintendo;dkong;dkong;1981;
dkngjnrj;dkongjr;Donkey Kong Junior (Japan[Q]);NO;YES;Nintendo;dkongjr;dkongjr;1982;
dkngjnrb;dkongjr;Donkey Kong Junior (bootleg[Q]);NO;YES;Nintendo of America;dkongjr;dkongjr;1982;
mariojp;mario;Mario Bros. (Japan);NO;YES;Nintendo;mario;mario;1983;
spclforc;-;Special Forces;YES;NO;Senko Industries (Magic Eletronics Inc. licence);-;-;1985;
spcfrcii;-;Special Forces II;YES;NO;Senko Industries (Magic Eletronics Inc. licence);-;-;1985;
8ballat2;8ballact;Eight Ball Action (DKJr conversion);NO;YES;Seatongrove Ltd (Magic Eletronics USA licence);8ballact;-;1984;
shootgal;-;Shooting Gallery;YES;NO;Seatongrove Ltd (Zaccaria licence);-;-;1984;
strtheat;-;Street Heat - Cardinal Amusements;YES;NO;Epos Corporation;-;dkongjr;1985;
hunchbkd;hunchbak;Hunchback (DK conversion);NO;YES;Century Electronics;hunchbak;-;1983;
sbdk;superbik;Super Bike (DK conversion);NO;YES;Century Electronics;superbik;-;1984;
spnchotj;spnchout;Super Punch-Out!! (Japan);NO;YES;Nintendo;spnchout;-;1984;
pc_tenis;-;PlayChoice-10 - Tennis;YES;NO;Nintendo;playch10;-;1983;
pc_mario;-;PlayChoice-10 - Mario Bros.;YES;NO;Nintendo;playch10;-;1983;
pc_bball;-;PlayChoice-10 - Baseball;YES;NO;Nintendo of America;playch10;-;1984;
pc_bfght;-;PlayChoice-10 - Balloon Fight;YES;NO;Nintendo;playch10;-;1984;
pc_ebike;-;PlayChoice-10 - Excite Bike;YES;NO;Nintendo;playch10;-;1984;
pc_golf;-;PlayChoice-10 - Golf;YES;NO;Nintendo;playch10;-;1984;
pc_kngfu;-;PlayChoice-10 - Kung Fu;YES;NO;Irem (Nintendo license);playch10;-;1984;
pc_1942;-;PlayChoice-10 - 1942;YES;NO;Capcom;playch10;-;1987;
pc_smb;-;PlayChoice-10 - Super Mario Bros.;YES;NO;Nintendo;playch10;-;1985;
pc_vball;-;PlayChoice-10 - Volley Ball;YES;NO;Nintendo;playch10;-;1986;
pc_duckh;-;PlayChoice-10 - Duck Hunt;YES;NO;Nintendo;playch10;-;1984;
pc_hgaly;-;PlayChoice-10 - Hogan's Alley;YES;NO;Nintendo;playch10;-;1984;
pc_wgnmn;-;PlayChoice-10 - Wild Gunman;YES;NO;Nintendo;playch10;-;1984;
pc_grdus;-;PlayChoice-10 - Gradius;YES;NO;Konami;playch10;-;1986;
pc_grdue;pc_grdus;PlayChoice-10 - Gradius (older);NO;YES;Konami;pc_grdus;-;1986;
pc_tkfld;-;PlayChoice-10 - Track and Field;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_pwrst;-;PlayChoice-10 - Pro Wrestling;YES;NO;Nintendo;playch10;-;1986;
pc_trjan;-;PlayChoice-10 - Trojan;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1986;
pc_cvnia;-;PlayChoice-10 - Castlevania;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_dbldr;-;PlayChoice-10 - Double Dribble;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_rnatk;-;PlayChoice-10 - Rush N' Attack;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_rygar;-;PlayChoice-10 - Rygar;YES;NO;Tecmo (Nintendo of America license);playch10;-;1987;
pc_cntra;-;PlayChoice-10 - Contra;YES;NO;Konami (Nintendo of America license);playch10;-;1988;
pc_goons;-;PlayChoice-10 - The Goonies;YES;NO;Konami;playch10;-;1986;
pc_mtoid;-;PlayChoice-10 - Metroid;YES;NO;Nintendo;playch10;-;1986;
pc_radrc;-;PlayChoice-10 - Rad Racer;YES;NO;Square;playch10;-;1987;
