name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
actfancr1;actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 1);NO;YES;Data East Corporation;actfancr;-;1989;
actfancr2;actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);NO;YES;Data East Corporation;actfancr;-;1989;
afighterc;afighter;Action Fighter (FD1089B 317-unknown);NO;YES;Sega;afighter;-;1986;
afighterd;afighter;Action Fighter (FD1089B 317-unknown, analog controls);NO;YES;Sega;afighter;-;1986;
afighterh;afighter;Action Fighter (System 16B, FD1089A 317-0018);NO;YES;Sega;afighter;-;1991;
afighterg;afighter;Action Fighter (System 16B, FD1089B 317-unknown);NO;YES;Sega;afighter;-;1991;
afighterf;afighter;Action Fighter (System 16B, FD1089B 317-unknown, analog controls);NO;YES;Sega;afighter;-;1991;
afightere;afighter;Action Fighter (System 16B, unprotected, analog controls);NO;YES;Sega;afighter;-;1991;
afighterb;afighter;Action Fighter (unprotected, analog controls);NO;YES;Sega;afighter;-;1986;
cworld2ja;cworld2j;Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery);NO;YES;Capcom;cworld2j;-;1992;
cworld2jb;cworld2j;Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2);NO;YES;Capcom;cworld2j;-;1992;
aerolitos;asteroid;Aerolitos (Spanish bootleg of Asteroids);NO;YES;bootleg (Rodmar Elec.);asteroid;-;1980;
aburner2g;aburner2;After Burner II (German);NO;YES;Sega;aburner2;-;1987;
aoh;-;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);YES;NO;Unico;-;-;2001;
agentx1;cloak;Agent X (prototype, rev 1);NO;YES;Atari;cloak;-;1983;
agentx2;cloak;Agent X (prototype, rev 2);NO;YES;Atari;cloak;-;1983;
agentx3;cloak;Agent X (prototype, rev 3);NO;YES;Atari;cloak;-;1983;
agentx4;cloak;Agent X (prototype, rev 4);NO;YES;Atari;cloak;-;1983;
agressb;agress;Agress (English bootleg);NO;YES;Palco;agress;-;2003;
agress;-;Agress;YES;NO;Palco;-;-;1991;
airass;-;Air Assault (World);YES;NO;Irem;-;-;1993;
airbustrb;airbustr;Air Buster: Trouble Specialty Raid Unit (bootleg);NO;YES;bootleg;airbustr;-;1990;
airbustrj;airbustr;Air Buster: Trouble Specialty Raid Unit (Japan);NO;YES;Kaneko (Namco license);airbustr;-;1990;
airdueljm72;airduel;Air Duel (Japan, M72 hardware);NO;YES;Irem;airduel;-;1990;
airduelu;airduel;Air Duel (US location test, M82 hardware);NO;YES;Irem;airduel;-;1990;
airduelm72;airduel;Air Duel (World, M72 hardware);NO;YES;Irem;airduel;-;1990;
agalleth;agallet;Air Gallet (Hong Kong);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletk;agallet;Air Gallet (Korea);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalleta;agallet;Air Gallet (older, Europe);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletah;agallet;Air Gallet (older, Hong Kong);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletak;agallet;Air Gallet (older, Korea);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletat;agallet;Air Gallet (older, Taiwan);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletau;agallet;Air Gallet (older, USA);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agallett;agallet;Air Gallet (Taiwan);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletu;agallet;Air Gallet (USA);NO;YES;BanPresto / Gazelle;agallet;-;1996;
arescuej;arescue;Air Rescue (Japan);NO;YES;Sega;arescue;-;1992;
arescueu;arescue;Air Rescue (US);NO;YES;Sega;arescue;-;1992;
airwolfa;airwolf;Airwolf (US);NO;YES;Kyugo (United Amusements license);airwolf;-;1987;
akatana;-;Akai Katana (2010/ 8/13 MASTER VER.);YES;NO;Cave;-;-;2010;
akkaarrh;-;Akka Arrh (prototype);YES;NO;Atari;-;-;1982;
akumajoun;hcastle;Akuma-Jou Dracula (Japan ver. N);NO;YES;Konami;hcastle;-;1988;
akumajou;hcastle;Akuma-Jou Dracula (Japan ver. P);NO;YES;Konami;hcastle;-;1988;
agalletj;agallet;Akuu Gallet (Japan);NO;YES;BanPresto / Gazelle;agallet;-;1996;
agalletaj;agallet;Akuu Gallet (older, Japan);NO;YES;BanPresto / Gazelle;agallet;-;1996;
alexkidd1;alexkidd;Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown);NO;YES;Sega;alexkidd;-;1986;
aa;-;Alien Armada;YES;NO;David Widel;-;-;2003;
alienchac;aliencha;Alien Challenge (China);NO;YES;IGS;aliencha;-;1994;
aliencha;-;Alien Challenge (World);YES;NO;IGS;-;-;1994;
alinvade;-;Alien Invaders;YES;NO;Forbes?;-;-;198?;
alienres;-;Alien Rescue (Homebrew, Test Build July 2019);YES;NO;MonstersGoBoom;-;-;2019;
aliensec;-;Alien Sector;YES;NO;Namco;-;-;1985;
astormjd;astorm;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted);NO;YES;Sega;astorm;-;1990;
astormj;astorm;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146);NO;YES;Sega;astorm;-;1990;
astormud;astorm;Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted);NO;YES;Sega;astorm;-;1990;
astormu;astorm;Alien Storm (set 2, US, 3 Players, FD1094 317-0147);NO;YES;Sega;astorm;-;1990;
astorm3d;astorm;Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted);NO;YES;Sega;astorm;-;1990;
astorm3;astorm;Alien Storm (set 3, World, 3 Players, FD1094 317-0148);NO;YES;Sega;astorm;-;1990;
aliensynjo;aliensyn;Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033);NO;YES;Sega;aliensyn;-;1987;
aliensyn2;aliensyn;Alien Syndrome (set 2, System 16A, FD1089A 317-0033);NO;YES;Sega;aliensyn;-;1987;
aliensyn3;aliensyn;Alien Syndrome (set 3, System 16B, FD1089A 317-0033);NO;YES;Sega;aliensyn;-;1987;
aliensyn5;aliensyn;Alien Syndrome (set 5, System 16A, FD1089B 317-0037);NO;YES;Sega;aliensyn;-;1987;
aliensynj;aliensyn;Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033);NO;YES;Sega;aliensyn;-;1987;
aliensyn7;aliensyn;Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx);NO;YES;Sega;aliensyn;-;1987;
avspd;avsp;Alien vs Predator (940520 Euro Phoenix Edition);NO;YES;bootleg;avsp;-;1994;
avsph;avsp;Alien vs Predator (940520 Hispanic);NO;YES;Capcom;avsp;-;1994;
alien3j;alien3;Alien3: The Gun (Japan);NO;YES;Sega;alien3;-;1993;
alien3u;alien3;Alien3: The Gun (US, Rev A);NO;YES;Sega;alien3;-;1993;
aliensa;aliens;Aliens (Asia);NO;YES;Konami;aliens;-;1990;
aliensj2;aliens;Aliens (Japan set 2);NO;YES;Konami;aliens;-;1990;
aliensu2;aliens;Aliens (US set 2);NO;YES;Konami;aliens;-;1990;
aliens3;aliens;Aliens (World set 3);NO;YES;Konami;aliens;-;1990;
aliens4;aliens;Aliens (World set 4);NO;YES;Konami;aliens;-;1990;
aligators;aligator;Alligator Hunt (Spain, protected);NO;YES;Gaelco;aligator;-;1994;
aligatorun;aligator;Alligator Hunt (unprotected, set 1);NO;YES;Gaelco;aligator;-;1994;
aligatoruna;aligator;Alligator Hunt (unprotected, set 2);NO;YES;Gaelco;aligator;-;1994;
alpham2p;alpham2;Alpha Mission II / ASO II - Last Guardian (prototype);NO;YES;SNK;alpham2;-;1991;
alphamis;aso;Alpha Mission;NO;YES;SNK;aso;-;1985;
alphaonea;mhavoc;Alpha One (prototype, 5 lives);NO;YES;Atari;mhavoc;-;1983;
alpha1v;-;Alpha One (Vision Electronics);YES;NO;Vision Electronics;-;-;1988;
altbeast2;altbeast;Altered Beast (set 2, MC-8123B 317-0066);NO;YES;Sega;altbeast;-;1988;
altbeast4;altbeast;Altered Beast (set 4, MC-8123B 317-0066);NO;YES;Sega;altbeast;-;1988;
altbeast5d;altbeast;Altered Beast (set 5, FD1094 317-0069 decrypted);NO;YES;Sega;altbeast;-;1988;
altbeast5;altbeast;Altered Beast (set 5, FD1094 317-0069);NO;YES;Sega;altbeast;-;1988;
altbeast6;altbeast;Altered Beast (set 6, 8751 317-0076);NO;YES;Sega;altbeast;-;1988;
ambushh;ambush;Ambush (hack?);NO;YES;Tecfri;ambush;-;1983;
ambushj;ambush;Ambush (Japan);NO;YES;Nippon Amuse Co-Ltd;ambush;-;1983;
ambushv;ambush;Ambush (Volt Elec co-ltd);NO;YES;Volt Elec co-ltd;ambush;-;1983;
anteaterg;anteater;Ameisenbaer (German);NO;YES;TV-Tuning (F.E.G. license);anteater;-;1983;
amidarb;amidar;Amidar (bootleg);NO;YES;bootleg;amidar;-;1982;
amidar1;amidar;Amidar (older);NO;YES;Konami;amidar;-;1981;
androidpo;androidp;Android (prototype, early build);NO;YES;Nasco;androidp;-;198?;
androidp;-;Android (prototype, later build);YES;NO;Nasco;-;-;198?;
aquajackj;aquajack;Aquajack (Japan);NO;YES;Taito Corporation;aquajack;-;1990;
aquajacku;aquajack;Aquajack (US);NO;YES;Taito Corporation;aquajack;-;1990;
aquariumj;aquarium;Aquarium (Japan);NO;YES;Excellent System;aquarium;-;1996;
arabfgtj;arabfgt;Arabian Fight (Japan);NO;YES;Sega;arabfgt;-;1991;
arabfgtu;arabfgt;Arabian Fight (US);NO;YES;Sega;arabfgt;-;1991;
arabianmu;arabianm;Arabian Magic (Ver 1.0A 1992/07/06);NO;YES;Taito America Corporation;arabianm;-;1992;
arabianmj;arabianm;Arabian Magic (Ver 1.0J 1992/07/06);NO;YES;Taito Corporation;arabianm;-;1992;
aracnis;scorpion;Aracnis (bootleg of Scorpion on Moon Cresta hardware);NO;YES;bootleg;scorpion;-;19??;
arcadian;-;Arcadia (NMK);YES;NO;NMK;-;-;1994;
archrivla;archrivl;Arch Rivals (rev 2.0 5/03/89);NO;YES;Bally Midway;archrivl;-;1989;
archrivlb;archrivl;Arch Rivals (rev 2.0 5/03/89, 8-way Joystick bootleg);NO;YES;bootleg;archrivl;-;1989;
area88r;unsquad;Area 88 (Japan Resale ver.);NO;YES;Daipro / Capcom;unsquad;-;1989;
lwingsj;lwings;Ares no Tsubasa (Japan);NO;YES;Capcom;lwings;-;1986;
lwingsja;lwings;Ares no Tsubasa (Japan, rev. A);NO;YES;Capcom;lwings;-;1986;
arian;aso;Arian Mission;NO;YES;SNK;aso;-;1985;
arkgcbl;arkanoid;Arkanoid (bootleg on Block hardware);NO;YES;bootleg;arkanoid;-;1986;
arkanoidjbl;arkanoid;Arkanoid (bootleg with MCU set 1);NO;YES;bootleg;arkanoid;-;1986;
arkanoidjbl2;arkanoid;Arkanoid (bootleg with MCU set 2);NO;YES;bootleg (Beta);arkanoid;-;1986;
arkanoidjbla;arkanoid;Arkanoid (bootleg with MCU, alt);NO;YES;bootleg;arkanoid;-;1986;
ark1ball;arkanoid;Arkanoid (bootleg with MCU, harder);NO;YES;bootleg;arkanoid;-;1986;
ark1balla;arkanoid;Arkanoid (bootleg with MCU, harder, alt);NO;YES;bootleg;arkanoid;-;1986;
arkangc2;arkanoid;Arkanoid (Game Corporation bootleg, set 2);NO;YES;bootleg;arkanoid;-;1986;
arkanoidj;arkanoid;Arkanoid (Japan);NO;YES;Taito Corporation;arkanoid;-;1986;
arkanoidja;arkanoid;Arkanoid (Japan, older rev);NO;YES;Taito Corporation;arkanoid;-;1986;
arkanoidjb;arkanoid;Arkanoid (Japan, oldest rev);NO;YES;Taito Corporation;arkanoid;-;1986;
arktayt2;arkanoid;Arkanoid (Tayto bootleg, harder);NO;YES;bootleg;arkanoid;-;1986;
arkanoidu;arkanoid;Arkanoid (US);NO;YES;Taito America Corporation (Romstar license);arkanoid;-;1986;
arkanoiduo;arkanoid;Arkanoid (US, oldest rev);NO;YES;Taito America Corporation (Romstar license);arkanoid;-;1986;
arknoid2b;arknoid2;Arkanoid - Revenge of DOH (Japan bootleg);NO;YES;bootleg;arknoid2;-;1987;
arknoid2j;arknoid2;Arkanoid - Revenge of DOH (Japan);NO;YES;Taito Corporation;arknoid2;-;1987;
arknoid2u;arknoid2;Arkanoid - Revenge of DOH (US);NO;YES;Taito America Corporation (Romstar license);arknoid2;-;1987;
arkretrnu;arkretrn;Arkanoid Returns (Ver 2.02A 1997/02/10);NO;YES;Taito Corporation;arkretrn;-;1997;
arkretrnj;arkretrn;Arkanoid Returns (Ver 2.02J 1997/02/10);NO;YES;Taito Corporation;arkretrn;-;1997;
armchmp2o;armchmp2;Arm Champs II v1.7;NO;YES;Jaleco;armchmp2;-;1992;
armchmp2o2;armchmp2;Arm Champs II v2.6;NO;YES;Jaleco;armchmp2;-;1992;
armchmp2;-;Arm Champs II v2.7;YES;NO;Jaleco;-;-;1992;
armedff;armedf;Armed Formation (Fillmore license);NO;YES;Nichibutsu (Fillmore license);armedf;-;1988;
batriderc;batrider;Armed Police Batrider (China) (Fri Feb 13 1998);NO;YES;Raizing / 8ing;batrider;-;1998;
batriderk;batrider;Armed Police Batrider (Korea) (Fri Feb 13 1998);NO;YES;Raizing / 8ing;batrider;-;1998;
batrideru;batrider;Armed Police Batrider (U.S.A.) (Fri Feb 13 1998);NO;YES;Raizing / 8ing;batrider;-;1998;
batriderhk;batrider;Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997);NO;YES;Raizing / 8ing;batrider;-;1998;
batriderja;batrider;Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997);NO;YES;Raizing / 8ing;batrider;-;1998;
batridert;batrider;Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997);NO;YES;Raizing / 8ing;batrider;-;1998;
batriderj;batrider;Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998);NO;YES;Raizing / 8ing;batrider;-;1998;
armorcar2;armorcar;Armored Car (set 2);NO;YES;Stern;armorcar;-;1981;
armwarar1;armwar;Armored Warriors (940920 Asia);NO;YES;Capcom;armwar;-;1994;
armwaru1;armwar;Armored Warriors (940920 USA);NO;YES;Capcom;armwar;-;1994;
armwar1d;armwar;Armored Warriors (941011 Europe Phoenix Edition);NO;YES;bootleg;armwar;-;1994;
armwarr1;armwar;Armored Warriors (941011 Europe);NO;YES;Capcom;armwar;-;1994;
armwarb;armwar;Armored Warriors (941024 Brazil);NO;YES;Capcom;armwar;-;1994;
aof2bh;aof2;Art of Fighting 2 / Ryuuko no Ken 2 (Enable hidden characters V2);NO;YES;Yumeji;aof2;-;1994;
aof2a;aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);NO;YES;SNK;aof2;-;1994;
aof3k;aof3;Art of Fighting 3 - The Path of the Warrior (Korean release);NO;YES;SNK;aof3;-;1996;
aof3bh;aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (Enable Hidden Characters V2);NO;YES;Yumeji;aof3;-;1996;
ashuraj;ashura;Ashura Blaster (Japan);NO;YES;Taito Corporation;ashura;-;1990;
asterixaad;asterix;Asterix (ver AAD);NO;YES;Konami;asterix;-;1992;
asterixeaa;asterix;Asterix (ver EAA);NO;YES;Konami;asterix;-;1992;
asterixeac;asterix;Asterix (ver EAC);NO;YES;Konami;asterix;-;1992;
asterixj;asterix;Asterix (ver JAD);NO;YES;Konami;asterix;-;1992;
asterockv;asteroid;Asterock (Videotron bootleg of Asteroids);NO;YES;bootleg (Videotron);asteroid;-;1979;
asteroidb1;asteroid;Asteroids (bootleg on Lunar Lander hardware, set 1);NO;YES;bootleg;asteroid;-;1979;
asteroidb2;asteroid;Asteroids (bootleg on Lunar Lander hardware, set 2);NO;YES;bootleg;asteroid;-;1979;
asteroid1;asteroid;Asteroids (rev 1);NO;YES;Atari;asteroid;-;1979;
asteroid2;asteroid;Asteroids (rev 2);NO;YES;Atari;asteroid;-;1979;
astdelux1;astdelux;Asteroids Deluxe (rev 1);NO;YES;Atari;astdelux;-;1980;
astdelux2;astdelux;Asteroids Deluxe (rev 2);NO;YES;Atari;astdelux;-;1980;
astrians;galaxian;Astrians (clone of Swarm);NO;YES;BGV Ltd;galaxian;-;1979;
asukaja;asuka;Asuka & Asuka (Japan);NO;YES;Taito Corporation;asuka;-;1988;
asukaj;asuka;Asuka & Asuka (Japan, version 1);NO;YES;Taito Corporation;asuka;-;1988;
asurabusjr;asurabus;Asura Buster - Eternal Warriors (Japan) (ARCADIA review build);NO;YES;Fuuki;asurabus;-;2000;
asurabusj;asurabus;Asura Buster - Eternal Warriors (Japan, set 1);NO;YES;Fuuki;asurabus;-;2000;
asurabusja;asurabus;Asura Buster - Eternal Warriors (Japan, set 2);NO;YES;Fuuki;asurabus;-;2000;
ataqandr;mooncrst;Ataque Androide - Moon Cresta (FAR S.A. Spanish bootleg);NO;YES;bootleg (FAR S.A.);mooncrst;-;1980?;
asideral;uniwars;Ataque Sideral (Spanish bootleg of UniWar S);NO;YES;bootleg (Electrogame S.A.);uniwars;-;1980;
athenab;athena;Athena (bootleg);NO;YES;SNK;athena;-;1986;
atlantol;trackfld;Atlant Olimpic;NO;YES;bootleg;trackfld;-;1996;
atombjt;bjtwin;Atom (bootleg of Bombjack Twin);NO;YES;bootleg (Kyon K.);bjtwin;-;1993;
atomboya;wilytowr;Atomic Boy (revision A);NO;YES;Irem (Memetron license);wilytowr;-;1985;
robokidj3;robokid;Atomic Robo-kid (Japan);NO;YES;UPL;robokid;-;1988;
robokidj2;robokid;Atomic Robo-kid (Japan, Type-2, set 2);NO;YES;UPL;robokid;-;1988;
attackf;defender;Attack (Defender bootleg);NO;YES;bootleg (Famare SA);defender;-;1980;
aurailjd;aurail;Aurail (set 1, Japan, FD1089A 317-0167 decrypted);NO;YES;Sega / Westone;aurail;-;1990;
aurailj;aurail;Aurail (set 1, Japan, FD1089A 317-0167);NO;YES;Sega / Westone;aurail;-;1990;
aurail1d;aurail;Aurail (set 2, World, FD1089B 317-0168 decrypted);NO;YES;Sega / Westone;aurail;-;1990;
aurail1;aurail;Aurail (set 2, World, FD1089B 317-0168);NO;YES;Sega / Westone;aurail;-;1990;
avefenix;phoenix;Ave Fenix (Electrogame, Spanish bootleg of Phoenix);NO;YES;bootleg (Video Game);phoenix;-;1980;
avefenixl;phoenix;Ave Fenix (Laguna, Spanish bootleg of Phoenix);NO;YES;bootleg;phoenix;-;1980;
avefenixrf;phoenix;Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix);NO;YES;bootleg (Recreativos Franco S.A.);phoenix;-;1981;
avengersb;avengers;Avengers (US);NO;YES;Capcom;avengers;-;1987;
avengersa;avengers;Avengers (US, revision A);NO;YES;Capcom;avengers;-;1987;
avengersc;avengers;Avengers (US, unknown revision);NO;YES;Capcom;avengers;-;1987;
avengrgsbh;avengrgs;Avengers In Galactic Storm (Playable Boss, Hack);NO;YES;hack;avengrgs;-;2022;
bwingsa;bwings;B-Wings (Alt Ver.?);NO;YES;Data East Corporation;bwings;-;1984;
bwingso;bwings;B-Wings (Japan old Ver.);NO;YES;Data East Corporation;bwings;-;1984;
brapboyspj;brapboys;B.Rap Boys Special (Japan);NO;YES;Kaneko;brapboys;-;1992;
brapboyspu;brapboys;B.Rap Boys Special (US);NO;YES;Kaneko;brapboys;-;1992;
brapboysp;brapboys;B.Rap Boys Special (World, newer);NO;YES;Kaneko;brapboys;-;1992;
brapboysp2;brapboys;B.Rap Boys Special (World, older);NO;YES;Kaneko;brapboys;-;1992;
backfirt;-;Back Fire (Tecmo, bootleg);YES;NO;Tecmo;-;-;1988;
badapple;-;Bad Apple (Tech-Demo);YES;NO;Hpman;neogeo;-;2017;
bagmanm2;bagman;Bagman (bootleg on Moon Cresta hardware set 2);NO;YES;Valadon Automation;bagman;-;1982;
bagmans3;bagman;Bagman (Stern Electronics, revision A3);NO;YES;Valadon Automation (Stern Electronics license);bagman;-;1982;
bagmans4;bagman;Bagman (Stern Electronics, revision A4);NO;YES;Valadon Automation (Stern Electronics license);bagman;-;1982;
bagmanj;bagman;Bagman (Taito);NO;YES;Valadon Automation (Taito license);bagman;-;1982;
ballboy;snowbro3;Ball Boy;NO;YES;bootleg;snowbro3;-;2003;
bace;-;Balloon Ace;YES;NO;David Widel;-;-;2003;
banbam;-;BanBam;YES;NO;Sun Electronics;-;-;1984;
bangbedp;bangbead;Bang Bead (Prototype?);NO;YES;Visco;bangbead;-;2000;
baryona;baryon;Baryon - Future Assault (set 2);NO;YES;SemiCom;baryon;-;1997;
bstarsh;bstars;Baseball Stars Professional (NGH-002);NO;YES;SNK;bstars;-;1990;
batsugunb;batsugun;Batsugun (Korean PCB);NO;YES;Toaplan;batsugun;-;1993;
batsuguna;batsugun;Batsugun (older, set 1);NO;YES;Toaplan;batsugun;-;1993;
batsugunc;batsugun;Batsugun (older, set 2);NO;YES;Toaplan;batsugun;-;1993;
batsugunsp;batsugun;Batsugun - Special Version;NO;YES;Toaplan;batsugun;-;1993;
battlntsj;battlnts;Battlantis (Japan, program code E);NO;YES;Konami;battlnts;-;1987;
battlntsa;battlnts;Battlantis (program code F);NO;YES;Konami;battlnts;-;1987;
bbakraidja;bbakraid;Battle Bakraid (Japan) (Wed Apr 7 1999);NO;YES;Eighting;bbakraid;-;1999;
bbakraidc;bbakraid;Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999);NO;YES;Eighting;bbakraid;-;1999;
bbakraidj;bbakraid;Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999);NO;YES;Eighting;bbakraid;-;1999;
batlballo;senkyu;Battle Balls (Germany, earlier);NO;YES;Seibu Kaihatsu (Tuning license);senkyu;-;1995;
batlball;senkyu;Battle Balls (Germany, newer);NO;YES;Seibu Kaihatsu (Tuning license);senkyu;-;1995;
batlballa;senkyu;Battle Balls (Hong Kong);NO;YES;Seibu Kaihatsu (Metrotainment license);senkyu;-;1995;
batlballe;senkyu;Battle Balls (Hong Kong, earlier);NO;YES;Seibu Kaihatsu (Metrotainment license);senkyu;-;1995;
