name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;NO;-;YES;-;-;
600;600;1981;Konami;YES;turtles;NO;turtles;-;
64streetja;64th. Street - A Detective Story (Japan, alt);1991;Jaleco;YES;64street;NO;64street;-;
64streetj;64th. Street - A Detective Story (Japan, set 1);1991;Jaleco;YES;64street;NO;64street;-;
64street;64th. Street - A Detective Story (World);1991;Jaleco;NO;-;YES;-;-;
7ordi;7 Ordi (Korea);2002;Yun Sung;NO;-;YES;-;-;
800fatha;800 Fathoms (older);1981;Amenip (US Billiards Inc. license);YES;mariner;NO;mariner;-;
800fath;800 Fathoms;1981;Amenip (US Billiards Inc. license);YES;mariner;NO;mariner;-;
ablast;A-Blast (Japan);2000;Subsino;YES;penbros;NO;penbros;-;
abcopjd;A.B. Cop (Japan, FD1094 317-0169b decrypted);1990;Sega;YES;abcop;NO;abcop;-;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);1990;Sega;YES;abcop;NO;abcop;-;
abcopd;A.B. Cop (World, FD1094 317-0169b decrypted);1990;Sega;YES;abcop;NO;abcop;-;
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;NO;-;YES;-;-;
ad2083;A.D. 2083;1983;Midcoin;NO;-;YES;-;-;
abscam;Abscam;1981;GL (US Billiards License);YES;puckman;NO;puckman;-;
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;NO;-;YES;-;-;
aceattaca;Ace Attacker (Japan, System 16A, FD1094 317-0060);1986;Sega;YES;aceattac;NO;aceattac;-;
acrobatm;Acrobat Mission;1991;UPL (Taito license);NO;nmk004;YES;-;-;
dogfgtu;Acrobatic Dog-Fight (USA);1985;Technos Japan (Data East USA, Inc. license);YES;dogfgt;NO;dogfgt;-;
dogfgt;Acrobatic Dog-Fight;1984;Technos Japan;NO;-;YES;-;-;
actfancrj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);1989;Data East Corporation;YES;actfancr;NO;actfancr;-;
actfancr1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);1989;Data East Corporation;YES;actfancr;NO;actfancr;-;
actfancr2;Act-Fancer Cybernetick Hyper Weapon (World revision 2);1989;Data East Corporation;YES;actfancr;NO;actfancr;-;
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 3);1989;Data East Corporation;NO;-;YES;-;-;
afighterc;Action Fighter (FD1089B 317-unknown);1986;Sega;YES;afighter;NO;afighter;-;
afighterd;Action Fighter (FD1089B 317-unknown, analog controls);1986;Sega;YES;afighter;NO;afighter;-;
afighterh;Action Fighter (System 16B, FD1089A 317-0018);1991;Sega;YES;afighter;NO;afighter;-;
afighterg;Action Fighter (System 16B, FD1089B 317-unknown);1991;Sega;YES;afighter;NO;afighter;-;
afighterf;Action Fighter (System 16B, FD1089B 317-unknown, analog controls);1991;Sega;YES;afighter;NO;afighter;-;
afightere;Action Fighter (System 16B, unprotected, analog controls);1991;Sega;YES;afighter;NO;afighter;-;
afightera;Action Fighter (unprotected);1986;Sega;YES;afighter;NO;afighter;-;
afighterb;Action Fighter (unprotected, analog controls);1986;Sega;YES;afighter;NO;afighter;-;
afighter;Action Fighter, FD1089A 317-0018;1986;Sega;NO;-;YES;-;-;
actionhw;Action Hollywood;1995;TCH;NO;-;YES;-;-;
hatena;Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228);1990;Capcom;NO;-;YES;-;-;
cworld2j;Adventure Quiz Capcom World 2 (920611 Japan);1992;Capcom;NO;-;YES;-;-;
cworld2ja;Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery);1992;Capcom;YES;cworld2j;NO;cworld2j;-;
cworld2jb;Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2);1992;Capcom;YES;cworld2j;NO;cworld2j;-;
aerofgtb;Aero Fighters (Turbo Force hardware set 1);1992;Video System Co.;YES;aerofgt;NO;aerofgt;-;
aerofgtc;Aero Fighters (Turbo Force hardware set 2);1992;Video System Co.;YES;aerofgt;NO;aerofgt;-;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;NO;neogeo;YES;-;-;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;NO;neogeo;YES;-;-;
aerofgt;Aero Fighters;1992;Video System Co.;NO;-;YES;-;-;
aeroboto;Aeroboto;1984;Jaleco (Williams license);YES;formatz;NO;formatz;-;
aerolitos;Aerolitos (Spanish bootleg of Asteroids);1980;bootleg (Rodmar Elec.);YES;asteroid;NO;asteroid;-;
aburner2g;After Burner II (German);1987;Sega;YES;aburner2;NO;aburner2;-;
aburner2;After Burner II;1987;Sega;NO;-;YES;-;-;
aburner;After Burner;1987;Sega;YES;aburner2;NO;aburner2;-;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);2001;Unico;NO;-;YES;-;-;
superbon;Agent Super Bond (scobra hardware);1985;Signaton USA;NO;-;YES;-;-;
agentx1;Agent X (prototype, rev 1);1983;Atari;YES;cloak;NO;cloak;-;
agentx2;Agent X (prototype, rev 2);1983;Atari;YES;cloak;NO;cloak;-;
agentx3;Agent X (prototype, rev 3);1983;Atari;YES;cloak;NO;cloak;-;
agentx4;Agent X (prototype, rev 4);1983;Atari;YES;cloak;NO;cloak;-;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;NO;neogeo;YES;-;-;
agressb;Agress (English bootleg);2003;Palco;YES;agress;NO;agress;-;
agress;Agress;1991;Palco;NO;-;YES;-;-;
koshien;Ah Eikou no Koshien (Japan);1990;Taito Corporation;NO;-;YES;-;-;
airass;Air Assault (World);1993;Irem;NO;-;YES;-;-;
airattck;Air Attack (set 1);1996;Comad;NO;-;YES;-;-;
airattcka;Air Attack (set 2);1996;Comad;YES;airattck;NO;airattck;-;
airbustrb;Air Buster: Trouble Specialty Raid Unit (bootleg);1990;bootleg;YES;airbustr;NO;airbustr;-;
airbustrj;Air Buster: Trouble Specialty Raid Unit (Japan);1990;Kaneko (Namco license);YES;airbustr;NO;airbustr;-;
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);NO;-;YES;-;-;
airdueljm72;Air Duel (Japan, M72 hardware);1990;Irem;YES;airduel;NO;airduel;-;
airduelu;Air Duel (US location test, M82 hardware);1990;Irem;YES;airduel;NO;airduel;-;
airduelm72;Air Duel (World, M72 hardware);1990;Irem;YES;airduel;NO;airduel;-;
airduel;Air Duel (World, M82 hardware);1990;Irem;NO;-;YES;-;-;
agallet;Air Gallet (Europe);1996;BanPresto / Gazelle;NO;-;YES;-;-;
agalleth;Air Gallet (Hong Kong);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletk;Air Gallet (Korea);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalleta;Air Gallet (older, Europe);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletah;Air Gallet (older, Hong Kong);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletak;Air Gallet (older, Korea);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletat;Air Gallet (older, Taiwan);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletau;Air Gallet (older, USA);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agallett;Air Gallet (Taiwan);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletu;Air Gallet (USA);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
arescuej;Air Rescue (Japan);1992;Sega;YES;arescue;NO;arescue;-;
arescueu;Air Rescue (US);1992;Sega;YES;arescue;NO;arescue;-;
arescue;Air Rescue (World);1992;Sega;NO;-;YES;-;-;
airwolfa;Airwolf (US);1987;Kyugo (United Amusements license);YES;airwolf;NO;airwolf;-;
airwolf;Airwolf;1987;Kyugo;NO;-;YES;-;-;
ajaxj;Ajax (Japan);1987;Konami;YES;ajax;NO;ajax;-;
ajax;Ajax;1987;Konami;NO;-;YES;-;-;
akatana;Akai Katana (2010/ 8/13 MASTER VER.);2010;Cave;NO;-;YES;-;-;
akkaarrh;Akka Arrh (prototype);1982;Atari;NO;-;YES;-;-;
akkanvdr;Akkanbeder (Ver 2.5J 1995/06/14);1995;Taito Corporation;YES;spcinv95;NO;spcinv95;-;
akumajoun;Akuma-Jou Dracula (Japan ver. N);1988;Konami;YES;hcastle;NO;hcastle;-;
akumajou;Akuma-Jou Dracula (Japan ver. P);1988;Konami;YES;hcastle;NO;hcastle;-;
agalletj;Akuu Gallet (Japan);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
agalletaj;Akuu Gallet (older, Japan);1996;BanPresto / Gazelle;YES;agallet;NO;agallet;-;
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;NO;-;YES;-;-;
alexkidd1;Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown);1986;Sega;YES;alexkidd;NO;alexkidd;-;
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;NO;-;YES;-;-;
alibaba;Ali Baba and 40 Thieves;1982;Sega;NO;-;YES;-;-;
alienaru;Alien Arena (Stargate upgrade);1985;Duncan Brown;YES;alienar;NO;alienar;-;
alienar;Alien Arena;1985;Duncan Brown;NO;-;YES;-;-;
aa;Alien Armada;2003;David Widel;NO;-;YES;-;-;
alienchac;Alien Challenge (China);1994;IGS;YES;aliencha;NO;aliencha;-;
aliencha;Alien Challenge (World);1994;IGS;NO;-;YES;-;-;
alinvade;Alien Invaders;198?;Forbes?;NO;-;YES;-;-;
alienres;Alien Rescue (Homebrew, Test Build July 2019);2019;MonstersGoBoom;NO;-;YES;-;-;
aliensec;Alien Sector;1985;Namco;NO;-;YES;-;-;
astormjd;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted);1990;Sega;YES;astorm;NO;astorm;-;
astormj;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146);1990;Sega;YES;astorm;NO;astorm;-;
astormud;Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted);1990;Sega;YES;astorm;NO;astorm;-;
astormu;Alien Storm (set 2, US, 3 Players, FD1094 317-0147);1990;Sega;YES;astorm;NO;astorm;-;
astorm3d;Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted);1990;Sega;YES;astorm;NO;astorm;-;
astorm3;Alien Storm (set 3, World, 3 Players, FD1094 317-0148);1990;Sega;YES;astorm;NO;astorm;-;
astorm;Alien Storm (set 4, World, 2 Players, FD1094 317-0154);1990;Sega;NO;-;YES;-;-;
aliensynjo;Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033);1987;Sega;YES;aliensyn;NO;aliensyn;-;
aliensyn2;Alien Syndrome (set 2, System 16A, FD1089A 317-0033);1987;Sega;YES;aliensyn;NO;aliensyn;-;
aliensyn3;Alien Syndrome (set 3, System 16B, FD1089A 317-0033);1987;Sega;YES;aliensyn;NO;aliensyn;-;
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;NO;-;YES;-;-;
aliensyn5;Alien Syndrome (set 5, System 16A, FD1089B 317-0037);1987;Sega;YES;aliensyn;NO;aliensyn;-;
aliensynj;Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033);1987;Sega;YES;aliensyn;NO;aliensyn;-;
aliensyn7;Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx);1987;Sega;YES;aliensyn;NO;aliensyn;-;
avspa;Alien vs Predator (940520 Asia);1994;Capcom;YES;avsp;NO;avsp;-;
avspd;Alien vs Predator (940520 Euro Phoenix Edition);1994;bootleg;YES;avsp;NO;avsp;-;
avsp;Alien vs Predator (940520 Euro);1994;Capcom;NO;-;YES;-;-;
avsph;Alien vs Predator (940520 Hispanic);1994;Capcom;YES;avsp;NO;avsp;-;
avspj;Alien vs Predator (940520 Japan);1994;Capcom;YES;avsp;NO;avsp;-;
avspu;Alien vs Predator (940520 USA);1994;Capcom;YES;avsp;NO;avsp;-;
alien3j;Alien3: The Gun (Japan);1993;Sega;YES;alien3;NO;alien3;-;
alien3u;Alien3: The Gun (US, Rev A);1993;Sega;YES;alien3;NO;alien3;-;
alien3;Alien3: The Gun (World);1993;Sega;NO;-;YES;-;-;
aliensa;Aliens (Asia);1990;Konami;YES;aliens;NO;aliens;-;
aliensj;Aliens (Japan set 1);1990;Konami;YES;aliens;NO;aliens;-;
aliensj2;Aliens (Japan set 2);1990;Konami;YES;aliens;NO;aliens;-;
aliensu;Aliens (US set 1);1990;Konami;YES;aliens;NO;aliens;-;
aliensu2;Aliens (US set 2);1990;Konami;YES;aliens;NO;aliens;-;
aliens;Aliens (World set 1);1990;Konami;NO;-;YES;-;-;
aliens2;Aliens (World set 2);1990;Konami;YES;aliens;NO;aliens;-;
aliens3;Aliens (World set 3);1990;Konami;YES;aliens;NO;aliens;-;
aliens4;Aliens (World set 4);1990;Konami;YES;aliens;NO;aliens;-;
aligators;Alligator Hunt (Spain, protected);1994;Gaelco;YES;aligator;NO;aligator;-;
aligatorun;Alligator Hunt (unprotected, set 1);1994;Gaelco;YES;aligator;NO;aligator;-;
aligatoruna;Alligator Hunt (unprotected, set 2);1994;Gaelco;YES;aligator;NO;aligator;-;
aligator;Alligator Hunt (World, protected);1994;Gaelco;NO;-;YES;-;-;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;NO;neogeo;YES;-;-;
alpham2p;Alpha Mission II / ASO II - Last Guardian (prototype);1991;SNK;YES;alpham2;NO;alpham2;-;
alphamis;Alpha Mission;1985;SNK;YES;aso;NO;aso;-;
alphaone;Alpha One (prototype, 3 lives);1983;Atari;YES;mhavoc;NO;mhavoc;-;
alphaonea;Alpha One (prototype, 5 lives);1983;Atari;YES;mhavoc;NO;mhavoc;-;
alpha1v;Alpha One (Vision Electronics);1988;Vision Electronics;NO;-;YES;-;-;
alpine;Alpine Ski (set 1);1982;Taito Corporation;NO;-;YES;-;-;
alpinea;Alpine Ski (set 2);1982;Taito Corporation;YES;alpine;NO;alpine;-;
altbeast2;Altered Beast (set 2, MC-8123B 317-0066);1988;Sega;YES;altbeast;NO;altbeast;-;
altbeast4;Altered Beast (set 4, MC-8123B 317-0066);1988;Sega;YES;altbeast;NO;altbeast;-;
altbeast5d;Altered Beast (set 5, FD1094 317-0069 decrypted);1988;Sega;YES;altbeast;NO;altbeast;-;
altbeast5;Altered Beast (set 5, FD1094 317-0069);1988;Sega;YES;altbeast;NO;altbeast;-;
altbeast6;Altered Beast (set 6, 8751 317-0076);1988;Sega;YES;altbeast;NO;altbeast;-;
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;NO;-;YES;-;-;
ambushh;Ambush (hack?);1983;Tecfri;YES;ambush;NO;ambush;-;
ambushj;Ambush (Japan);1983;Nippon Amuse Co-Ltd;YES;ambush;NO;ambush;-;
ambushv;Ambush (Volt Elec co-ltd);1983;Volt Elec co-ltd;YES;ambush;NO;ambush;-;
ambush;Ambush;1983;Tecfri;NO;-;YES;-;-;
anteaterg;Ameisenbaer (German);1983;TV-Tuning (F.E.G. license);YES;anteater;NO;anteater;-;
horshoes;American Horseshoes (US);1990;Taito America Corporation;NO;-;YES;-;-;
amspdwy;American Speedway (set 1);1987;Enerdyne Technologies Inc.;NO;-;YES;-;-;
amspdwya;American Speedway (set 2);1987;Enerdyne Technologies Inc.;YES;amspdwy;NO;amspdwy;-;
amidarb;Amidar (bootleg);1982;bootleg;YES;amidar;NO;amidar;-;
amidar1;Amidar (older);1981;Konami;YES;amidar;NO;amidar;-;
amidaro;Amidar (Olympia);1982;Konami (Olympia license);YES;amidar;NO;amidar;-;
amidars;Amidar (Scramble hardware);1982;Konami;YES;amidar;NO;amidar;-;
amidaru;Amidar (Stern);1982;Konami (Stern license);YES;amidar;NO;amidar;-;
amidar;Amidar;1981;Konami;NO;-;YES;-;-;
amigo;Amigo;1982;bootleg;YES;amidar;NO;amidar;-;
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;NO;neogeo;YES;-;-;
androidpo;Android (prototype, early build);198?;Nasco;YES;androidp;NO;androidp;-;
androidp;Android (prototype, later build);198?;Nasco;NO;-;YES;-;-;
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;NO;-;YES;-;-;
cadanglr;Angler Dangler (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;YES;-;-;
anteater;Anteater;1982;Stern (Tago license);NO;-;YES;-;-;
aponow;Apocaljpse Now;1982;bootleg;YES;rescue;NO;rescue;-;
appoooh;Appoooh;1984;Sanritsu / Sega;NO;-;YES;-;-;
aquajackj;Aquajack (Japan);1990;Taito Corporation;YES;aquajack;NO;aquajack;-;
aquajacku;Aquajack (US);1990;Taito Corporation;YES;aquajack;NO;aquajack;-;
aquajack;Aquajack (World);1990;Taito Corporation Japan;NO;-;YES;-;-;
aquariumj;Aquarium (Japan);1996;Excellent System;YES;aquarium;NO;aquarium;-;
aquarium;Aquarium (US);1996;Excellent System;NO;-;YES;-;-;
arabiana;Arabian (Atari);1983;[Sun Electronics] (Atari license);YES;arabian;NO;arabian;-;
arabfgtj;Arabian Fight (Japan);1991;Sega;YES;arabfgt;NO;arabfgt;-;
arabfgtu;Arabian Fight (US);1991;Sega;YES;arabfgt;NO;arabfgt;-;
arabfgt;Arabian Fight (World);1991;Sega;NO;-;YES;-;-;
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);1992;Taito America Corporation;YES;arabianm;NO;arabianm;-;
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);1992;Taito Corporation;YES;arabianm;NO;arabianm;-;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;NO;-;YES;-;-;
arabian;Arabian;1983;Sun Electronics;NO;-;YES;-;-;
aracnis;Aracnis (bootleg of Scorpion on Moon Cresta hardware);19??;bootleg;YES;scorpion;NO;scorpion;-;
arbalest;Arbalester;1989;Seta;NO;-;YES;-;-;
arcadecl;Arcade Classics (prototype);1992;Atari Games;NO;-;YES;-;-;
arcadian;Arcadia (NMK);1994;NMK;NO;-;YES;-;-;
archrivla;Arch Rivals (rev 2.0 5/03/89);1989;Bally Midway;YES;archrivl;NO;archrivl;-;
archrivlb;Arch Rivals (rev 2.0 5/03/89, 8-way Joystick bootleg);1989;bootleg;YES;archrivl;NO;archrivl;-;
archrivl;Arch Rivals (rev 4.0 6/29/89);1989;Bally Midway;NO;-;YES;-;-;
area88r;Area 88 (Japan Resale ver.);1989;Daipro / Capcom;YES;unsquad;NO;unsquad;-;
area88;Area 88 (Japan);1989;Daipro / Capcom;YES;unsquad;NO;unsquad;-;
lwingsj;Ares no Tsubasa (Japan);1986;Capcom;YES;lwings;NO;lwings;-;
lwingsja;Ares no Tsubasa (Japan, rev. A);1986;Capcom;YES;lwings;NO;lwings;-;
argusg;Argus (Gottlieb, prototype);1984;Gottlieb;NO;-;YES;-;-;
rygarj;Argus no Senshi (Japan);1986;Tecmo;YES;rygar;NO;rygar;-;
argus;Argus;1986;NMK (Jaleco license);NO;-;YES;-;-;
arian;Arian Mission;1985;SNK;YES;aso;NO;aso;-;
arkarea;Ark Area;1988;UPL;NO;-;YES;-;-;
arkgcbl;Arkanoid (bootleg on Block hardware);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arkanoidjbl;Arkanoid (bootleg with MCU set 1);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arkanoidjbl2;Arkanoid (bootleg with MCU set 2);1986;bootleg (Beta);YES;arkanoid;NO;arkanoid;-;
arkanoidjbla;Arkanoid (bootleg with MCU, alt);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
ark1ball;Arkanoid (bootleg with MCU, harder);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
ark1balla;Arkanoid (bootleg with MCU, harder, alt);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arkangc;Arkanoid (Game Corporation bootleg, set 1);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arkangc2;Arkanoid (Game Corporation bootleg, set 2);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arkanoidj;Arkanoid (Japan);1986;Taito Corporation;YES;arkanoid;NO;arkanoid;-;
arkanoidja;Arkanoid (Japan, older rev);1986;Taito Corporation;YES;arkanoid;NO;arkanoid;-;
arkanoidjb;Arkanoid (Japan, oldest rev);1986;Taito Corporation;YES;arkanoid;NO;arkanoid;-;
arkatayt;Arkanoid (Tayto bootleg);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
arktayt2;Arkanoid (Tayto bootleg, harder);1986;bootleg;YES;arkanoid;NO;arkanoid;-;
