name;description;year;manufacturer;is_parent;bios;sample
blktiger;Black Tiger;1987;Capcom;NO;-;-
blmbycar;Blomby Car;1994;ABM & Gecas;NO;-;-
block;Block Block (World 911219 Joystick);1991;Capcom;NO;-;-
blockade;Blockade;1976;Gremlin;NO;-;-
blockcar;Block Carnival / Thunder & Lightning 2;1992;Visco;NO;-;-
blocken;Blocken (Japan);1994;Visco / KID;NO;-;-
blockgal;Block Gal (MC-8123B, 317-0029);1987;Sega / Vic Tokai;NO;-;-
blockhl;Block Hole;1989;Konami;NO;-;-
blockout;Block Out (set 1);1989;Technos Japan / California Dreams;NO;-;-
bloodbro;Blood Bros. (World?);1990;TAD Corporation;NO;-;-
bloodstm;Blood Storm (v2.22);1994;Strata/Incredible Technologies;NO;-;-
bloodwar;Blood Warrior;1994;Kaneko;NO;-;-
bloxeed;Bloxeed (Japan, FD1094 317-0139);1990;Sega;NO;-;-
blstroid;Blasteroids (rev 4);1987;Atari Games;NO;-;-
blswhstl;Bells & Whistles (World, version L);1991;Konami;NO;-;-
bluehawk;Blue Hawk;1993;Dooyong;NO;-;-
blueprnt;Blue Print (Midway);1982;[Zilec Electronics] Bally Midway;NO;-;-
blzntrnd;Blazing Tornado;1994;Human Amusement;NO;-;-
bmaster;Blade Master (World);1991;Irem;NO;-;-
bnstars1;Vs. Janshi Brandnew Stars;1997;Jaleco;NO;-;-
bnzabros;Bonanza Bros (US, Floppy DS3-5000-07d? Based);1990;Sega;NO;-;-
bodyslam;Body Slam (8751 317-0015);1986;Sega;NO;-;-
bogeyman;Bogey Manor;1985;Technos Japan;NO;-;-
boggy84;Boggy '84;1983;Kaneko;NO;-;-
bombbee;Bomb Bee;1979;Namco;NO;-;-
bombjack;Bomb Jack (set 1);1984;Tehkan;NO;-;-
bombkick;Bomb Kick (set 1);1998;Yun Sung;NO;-;-
bongo;Bongo;1983;Jetsoft;NO;-;-
bonkadv;B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin;1994;Kaneko;NO;-;-
bonzeadv;Bonze Adventure (World, Newer);1988;Taito Corporation Japan;NO;cchip;-
boogwing;Boogie Wings (Euro v1.5, 92.12.07);1992;Data East Corporation;NO;-;-
boomrang;Boomer Rang'r / Genesis (set 1);1983;Data East Corporation;NO;-;-
boonggab;Boong-Ga Boong-Ga (Spank'em!);2001;Taff System;NO;-;-
borench;Borench (set 1);1990;Sega;NO;-;-
botanic;Botanic (English / Spanish);1983;Itisa;NO;-;-
bottom9;Bottom of the Ninth (ver. T);1989;Konami;NO;-;-
bouldash;Boulder Dash / Boulder Dash Part 2 (World);1990;Data East Corporation (licensed from First Star);NO;-;-
bounty;The Bounty;1982;Orca;NO;-;-
bowlrama;Bowl-O-Rama Rev 1.0;1991;P&P Marketing;NO;-;-
boxyboy;Boxy Boy (World, SB2);1990;Namco;NO;-;-
bradley;Bradley Trainer;1980;Atari;NO;-;-
brain;Brain;1986;Coreland / Sega;NO;-;-
brapboys;B.Rap Boys (World);1992;Kaneko;NO;-;-
breakers;Breakers;1996;Visco;NO;neogeo;-
breakrev;Breakers Revenge;1998;Visco;NO;neogeo;-
brival;Burning Rival (World);1992;Sega;NO;-;-
brkthru;Break Thru (US);1986;Data East USA;NO;-;-
brubber;Burnin' Rubber;1982;Data East;NO;-;-
bshark;Battle Shark (World);1989;Taito Corporation Japan;NO;-;-
bssoccer;Back Street Soccer;1996;SunA;NO;-;-
bstars;Baseball Stars Professional (NGM-002);1990;SNK;NO;neogeo;-
bstars2;Baseball Stars 2;1992;SNK;NO;neogeo;-
btime;Burger Time (Data East set 1);1982;Data East Corporation;NO;-;-
btlkroad;Battle K-Road;1994;Psikyo;NO;-;-
btoads;Battletoads;1994;Rare / Electronic Arts;NO;-;-
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);1995;Taito Corporation Japan;NO;-;-
bubbles;Bubbles;1982;Williams;NO;-;-
bubbletr;Bubble Trouble - Golly! Ghost! 2 (World, Rev B);1992;Namco;NO;-;-
bubl2000;Bubble 2000;1998;Afega (Tuning license);NO;-;-
bublbob2;Bubble Bobble II (Ver 2.6O 1994/12/16);1994;Taito Corporation Japan;NO;-;-
bublbobl;Bubble Bobble (Japan, Ver 0.1);1986;Taito Corporation;NO;-;-
bublbust;Bubble Buster (USA, B-System);1994;Taito America Corporation;NO;-;-
bubsys;Bubble System BIOS;1985;Konami;NO;-;-
buccanrs;Buccaneers (set 1);1989;Duintronic;NO;-;-
buckrog;Buck Rogers: Planet of Zoom;1982;Sega;NO;-;-
bucky;Bucky O'Hare (ver EAB);1992;Konami;NO;-;-
buggychl;Buggy Challenge;1984;Taito Corporation;NO;-;-
bullet;Bullet (FD1094 317-0041);1987;Sega;NO;-;-
bullfgt;Bullfight (315-5065);1984;Coreland / Sega;NO;-;-
burglarx;Burglar X;1997;Unico;NO;-;-
burnforc;Burning Force (Japan, new version (Rev C));1989;Namco;NO;-;-
burningf;Burning Fight (NGM-018)(NGH-018);1991;SNK;NO;neogeo;-
butasan;Butasan - Pig's & Bomber's (Japan, English);1987;NMK (Jaleco license);NO;-;-
bwcasino;Boardwalk Casino;1983;EPOS Corporation;NO;-;-
bwidow;Black Widow;1982;Atari;NO;-;-
bwings;B-Wings (Japan new Ver.);1984;Data East Corporation;NO;-;-
bygone;Bygone;1985;Taito Corporation;NO;-;-
bzone;Battle Zone (rev 2);1980;Atari;NO;-;-
cabal;Cabal (World, Joystick);1988;TAD Corporation;NO;-;-
cachat;Cachat (Japan);1993;Taito Corporation;NO;-;-
cadanglr;Angler Dangler (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
cadash;Cadash (World);1989;Taito Corporation Japan;NO;-;-
cairblad;Change Air Blade (Japan);1999;Sammy;NO;-;-
calibr50;Caliber 50;1989;Athena / Seta;NO;-;-
calipso;Calipso;1982;Stern (Tago license);NO;-;-
calorie;Calorie Kun vs Moguranian;1986;Sega;NO;-;-
cameltry;Cameltry (US, YM2610);1989;Taito America Corporation;NO;-;-
candy;Candy Candy;1999;Eolith;NO;-;-
cannball;Cannon Ball (Yun Sung, horizontal);1995;Yun Sung / Soft Vision;NO;-;-
cannonbp;Cannon Ball (Pacman Hardware);1985;Novomatic;NO;-;-
canvas;Canvas Croquis;1985;SNK;NO;-;-
canyon;Canyon Bomber;1977;Atari;NO;-;-
capbowl;Capcom Bowling (set 1);1988;Incredible Technologies / Capcom;NO;-;-
captaven;Captain America and The Avengers (Asia Rev 1.4);1991;Data East Corporation;NO;-;-
captcomm;Captain Commando (911202 World);1991;Capcom;NO;-;-
carjmbre;Car Jamboree;1983;Omori Electric Co., Ltd.;NO;-;-
carket;Carket Ball;1996;SemiCom;NO;-;-
carnival;Carnival (upright);1980;Sega;NO;-;-
casanova;Casanova;199?;Promat;NO;-;-
cashquiz;Cash Quiz (Type B, Version 5);1986;Zilec-Zenitone;NO;-;-
castfant;Astro Fantasia (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
catacomb;Catacomb;1982;MTM Games;NO;-;-
cavelon;Cavelon;1983;Jetsoft;NO;-;-
cavenger;Cosmic Avenger;1981;Universal;NO;-;-
cawing;Carrier Air Wing (U.S. navy 901012 etc);1990;Capcom;NO;-;-
cbdash;Boulder Dash (DECO Cassette) (US);1985;Data East Corporation;NO;decocass;-
cbombers;Chase Bombers (World);1994;Taito Corporation Japan;NO;-;-
cbtime;Burger Time (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
cburnrub;Burnin' Rubber (DECO Cassette) (US) (set 1);1982;Data East Corporation;NO;decocass;-
cbuster;Crude Buster (World FX version);1990;Data East Corporation;NO;-;-
ccastles;Crystal Castles (version 4);1983;Atari;NO;-;-
cchip;C-Chip Internal ROM;1989;Taito Corporation Japan;NO;-;-
cclimber;Crazy Climber (US set 1);1980;Nichibutsu;NO;-;-
cclimbr2;Crazy Climber 2 (Japan);1988;Nichibutsu;NO;-;-
cdiscon1;Disco No.1 (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
cdsteljn;DS Telejan (DECO Cassette) (Japan);1981;Data East Corporation;NO;decocass;-
centiped;Centipede (revision 4);1980;Atari;NO;-;-
cexplore;Explorer (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
cfboy0a1;Flash Boy (vertical) [DECO Cassette MD] (No.12/Ver.0/Set.1,Japan);1981;Data East Corporation;NO;decocass;-
cfghtice;Fighting Ice Hockey (DECO Cassette) (US);1984;Data East Corporation;NO;decocass;-
cflyball;Flying Ball (DECO Cassette) (US);1985;Data East Corporation;NO;decocass;-
cgangpzl;Cosmo Gang the Puzzle (US);1992;Namco;NO;namcoc69;-
cgraplop;Cluster Buster (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
chainrec;Chain Reaction (World, Version 2.2, 1995.09.25);1995;Data East;NO;-;-
chaknpop;Chack'n Pop;1983;Taito Corporation;NO;-;-
chameleo;Chameleon;1983;Jaleco;NO;-;-
champwr;Champion Wrestler (World);1989;Taito Corporation Japan;NO;-;-
chanbara;Chanbara;1985;Data East;NO;-;-
changes;Changes;1982;Orca;NO;-;-
charlien;Charlie Ninja;1995;Mitchell;NO;-;-
chasehq;Chase H.Q. (World);1988;Taito Corporation Japan;NO;-;-
checkman;Check Man;1982;Zilex-Zenitone;NO;-;-
cheekyms;Cheeky Mouse;1980;Universal;NO;-;-
cheesech;Cheese Chase;1994;Art & Magic;NO;-;-
chelnov;Chelnov - Atomic Runner (World);1988;Data East Corporation;NO;-;-
cheyenne;Cheyenne (version 1.0);1984;Exidy;NO;-;-
chiller;Chiller (version 3.0);1986;Exidy;NO;-;-
chimerab;Chimera Beast (prototype);1993;Jaleco;NO;-;-
chinagat;China Gate (US);1988;Technos Japan (Taito Romstar license);NO;-;-
chinatwn;China Town (Japan);1991;Data East Corporation;NO;-;-
chinhero;Chinese Hero;1984;Taiyo;NO;-;-
chkun;Chance Kun (Japan);1988;Peni Soft;NO;-;-
chokchok;Choky! Choky!;1995;SemiCom;NO;-;-
choko;Choko (010820 Japan);2001;Mitchell;NO;-;-
choplift;Choplifter (8751 315-5151);1985;Sega;NO;-;-
chopper;Chopper I (US ver 2);1988;SNK;NO;-;-
chqflag;Chequered Flag;1988;Konami;NO;-;-
chukatai;Chuka Taisen (World) (P0-028-A PCB);1988;Taito Corporation Japan;NO;-;-
chwy;Highway Chase (DECO Cassette) (US);1980;Data East Corporation;NO;decocass;-
circusc;Circus Charlie (level select, set 1);1984;Konami;NO;-;-
cischeat;Cisco Heat;1990;Jaleco;NO;-;-
citybomb;City Bomber (World);1987;Konami;NO;-;-
citycon;City Connection (set 1);1985;Jaleco;NO;-;-
ckong;Crazy Kong;1981;Kyoei / Falcon;NO;-;-
ckongpt2;Crazy Kong Part II (set 1);1981;Falcon;NO;-;-
clapapa;Rootin' Tootin' / La-Pa-Pa (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
claypign;Clay Pigeon (version 2.0);1986;Exidy;NO;-;-
cleopatr;Cleopatra Fortune (Ver 2.1J 1996/09/05);1996;Taito Corporation;NO;-;-
cloak;Cloak & Dagger (rev 5);1983;Atari;NO;-;-
clocknch;Lock'n'Chase (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
cloud9;Cloud 9 (prototype);1983;Atari;NO;-;-
clshroad;Clash-Road;1986;Wood Place Inc.;NO;-;-
cltchitr;Clutch Hitter (set 2, US, FD1094 317-0176);1991;Sega;NO;-;-
clubpacm;Pacman Club / Club Lambada (Argentina);1989;Miky SRL;NO;-;-
cluckypo;Lucky Poker (DECO Cassette) (US);1981;Data East Corporation;NO;decocass;-
cmanhat;Manhattan (DECO Cassette) (Japan);1981;Data East Corporation;NO;decocass;-
cmissnx;Mission-X (DECO Cassette) (US);1982;Data East Corporation;NO;decocass;-
cnightst;Night Star (DECO Cassette) (US) (set 1);1983;Data East Corporation;NO;decocass;-
cninja;Caveman Ninja (World ver 4);1991;Data East Corporation;NO;-;-
cobracom;Cobra-Command (World/US revision 5);1988;Data East Corporation;NO;-;-
cocean1a;Ocean to Ocean (Medal) (DECO Cassette MD) (No.10/Ver.1,Japan);1981;Data East Corporation;NO;decocass;-
colony7;Colony 7 (set 1);1981;Taito;NO;-;-
columns;Columns (World);1990;Sega;NO;-;-
columns2;Columns II: The Voyage Through Time (World);1990;Sega;NO;-;-
combat;Combat (version 3.0);1985;Exidy;NO;-;-
combatsc;Combat School (joystick);1988;Konami;NO;-;-
combh;Combat Hawk;1987;Sega / Sanritsu;NO;-;-
commando;Commando (World);1985;Capcom;NO;-;-
commandw;Command War - Super Special Battle & War Game (Ver 0.0J) (Prototype);1992;Taito Corporation;NO;-;-
commsega;Commando (Sega);1983;Sega;NO;-;-
comotion;CoMOTION;1976;Gremlin;NO;-;blockade
complexx;Complex X;1984;Taito America Corporation;NO;-;-
congo;Congo Bongo;1983;Sega;NO;-;-
contcirc;Continental Circus (World);1987;Taito Corporation Japan;NO;-;-
contra;Contra (US / Asia, set 1);1987;Konami;NO;-;-
cookbib;Cookie & Bibi (set 1);1995;SemiCom;NO;-;-
cookbib2;Cookie & Bibi 2 (English, set 1);1996;SemiCom;NO;-;-
cookbib3;Cookie & Bibi 3;1997;SemiCom;NO;-;-
coolmini;Cool Minigame Collection;1999;SemiCom;NO;-;-
coozumou;Oozumou - The Grand Sumo (DECO Cassette) (Japan);1984;Data East Corporation;NO;decocass;-
cop01;Cop 01 (set 1);1985;Nichibutsu;NO;-;-
cosmccop;Cosmic Cop (World);1991;Irem;NO;-;-
cosmogng;Cosmo Gang the Video (US);1991;Namco;NO;-;-
cotton;Cotton (set 3, World, FD1094 317-0181a);1991;Success / Sega;NO;-;-
countrun;Counter Run (NS6201-A 1988.3);1988;Nihon System (Sega license);NO;-;-
countryc;Country Club;1988;SNK;NO;-;-
cppicf;Peter Pepper's Ice Cream Factory (DECO Cassette) (US) (set 1);1984;Data East Corporation;NO;decocass;-
cprobowl;Pro Bowling (DECO Cassette) (US);1983;Data East Corporation;NO;decocass;-
