name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
rbff2;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (NGM-2400);1998;SNK;YES;neogeo;NO;-;-
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;SNK;YES;neogeo;NO;-;-
ridhero;Riding Hero (NGM-006)(NGH-006);1990;SNK;YES;neogeo;NO;-;-
roboarmy;Robo Army (set 1);1991;SNK;YES;neogeo;NO;-;-
samsho;Samurai Shodown / Samurai Spirits (NGM-045);1993;SNK;YES;neogeo;NO;-;-
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);1994;SNK;YES;neogeo;NO;-;-
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);1995;SNK;YES;neogeo;NO;-;-
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);1996;SNK;YES;neogeo;NO;-;-
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 1);2003;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);2004;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-
savagere;Savage Reign / Fu'un Mokushiroku - kakutou sousei;1995;SNK;YES;neogeo;NO;-;-
sengoku;Sengoku / Sengoku Denshou (NGM-017)(NGH-017);1991;SNK;YES;neogeo;NO;-;-
sengoku2;Sengoku 2 / Sengoku Denshou 2;1993;SNK;YES;neogeo;NO;-;-
sengoku3;Sengoku 3 / Sengoku Densho 2001 (set 1);2001;SNK / Noise Factory;YES;neogeo;NO;-;-
shocktr2;Shock Troopers - 2nd Squad;1998;Saurus;YES;neogeo;NO;-;-
svc;SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690);2003;SNK Playmore;YES;neogeo;NO;-;-
socbrawl;Soccer Brawl (NGM-031);1991;SNK;YES;neogeo;NO;-;-
spinmast;Spin Master / Miracle Adventure;1993;Data East Corporation;YES;neogeo;NO;-;-
stakwin;Stakes Winner / Stakes Winner - GI kinzen seiha e no michi;1995;Saurus;YES;neogeo;NO;-;-
stakwin2;Stakes Winner 2;1996;Saurus;YES;neogeo;NO;-;-
strhoop;Street Hoop / Street Slam / Dunk Dream (DEM-004) (DEH-004);1994;Data East Corporation;YES;neogeo;NO;-;-
ssideki;Super Sidekicks / Tokuten Ou;1992;SNK;YES;neogeo;NO;-;-
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football (NGM-061)(NGH-061);1994;SNK;YES;neogeo;NO;-;-
ssideki3;Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikou e no michi;1995;SNK;YES;neogeo;NO;-;-
moshougi;Syougi No Tatsujin - Master of Shougi;1995;ADK / SNK;YES;neogeo;NO;-;-
kof94;The King of Fighters '94 (NGM-055)(NGH-055);1994;SNK;YES;neogeo;NO;-;-
kof95;The King of Fighters '95 (NGM-084);1995;SNK;YES;neogeo;NO;-;-
kof96;The King of Fighters '96 (NGM-214);1996;SNK;YES;neogeo;NO;-;-
kof97;The King of Fighters '97 (NGM-2320);1997;SNK;YES;neogeo;NO;-;-
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;YES;neogeo;NO;-;-
kof99;The King of Fighters '99 - Millennium Battle (NGM-2510);1999;SNK;YES;neogeo;NO;-;-
kof2000;The King of Fighters 2000 (NGM-2570) (NGH-2570);2000;SNK;YES;neogeo;NO;-;-
kof2001;The King of Fighters 2001 (NGM-262?);2001;SNK / Eolith;YES;neogeo;NO;-;-
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);2002;Eolith / Playmore;YES;neogeo;NO;-;-
kof2003;The King of Fighters 2003 (NGM-2710);2003;SNK Playmore;YES;neogeo;NO;-;-
lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340);1997;SNK;YES;neogeo;NO;-;-
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430);1998;SNK;YES;neogeo;NO;-;-
superspy;The Super Spy (NGM-011)(NGH-011);1990;SNK;YES;neogeo;NO;-;-
ssideki4;The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero;1996;SNK;YES;neogeo;NO;-;-
trally;Thrash Rally (ALM-003)(ALH-003);1991;Alpha Denshi Co.;YES;neogeo;NO;-;-
tophuntr;Top Hunter - Roddy & Cathy (NGM-046);1994;SNK;YES;neogeo;NO;-;-
tpgolf;Top Player's Golf (NGM-003)(NGH-003);1990;SNK;YES;neogeo;NO;-;-
twinspri;Twinkle Star Sprites;1996;ADK;YES;neogeo;NO;-;-
viewpoin;Viewpoint;1992;Sammy / Aicom;YES;neogeo;NO;-;-
gowcaizr;Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer;1995;Technos;YES;neogeo;NO;-;-
wakuwak7;Waku Waku 7;1996;Sunsoft;YES;neogeo;NO;-;-
wjammers;Windjammers / Flying Power Disc;1994;Data East Corporation;YES;neogeo;NO;-;-
wh1;World Heroes (ALM-005);1992;Alpha Denshi Co.;YES;neogeo;NO;-;-
wh2;World Heroes 2 (ALM-006)(ALH-006);1993;ADK;YES;neogeo;NO;-;-
wh2j;World Heroes 2 Jet (ADM-007)(ADH-007);1994;ADK / SNK;YES;neogeo;NO;-;-
whp;World Heroes Perfect;1995;ADK / SNK;YES;neogeo;NO;-;-
