"name";"description";"year";"manufacturer";"is_parent";"romof";"is_clone";"cloneof";"sampleof"
"aceattac";"Ace Attacker (FD1094 317-0059)";1988;"Sega";"YES";"-";"NO";"-";"-"
"acrobatm";"Acrobat Mission";1991;"UPL (Taito license)";"YES";"nmk004";"NO";"-";"-"
"dogfgt";"Acrobatic Dog-Fight";1984;"Technos Japan";"YES";"-";"NO";"-";"-"
"actfancr";"Act-Fancer Cybernetick Hyper Weapon (World revision 3)";1989;"Data East Corporation";"YES";"-";"NO";"-";"-"
"afighter";"Action Fighter, FD1089A 317-0018";1986;"Sega";"YES";"-";"NO";"-";"-"
"actionhw";"Action Hollywood";1995;"TCH";"YES";"-";"NO";"-";"-"
"hatena";"Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)";1990;"Capcom";"YES";"-";"NO";"-";"-"
"cworld2j";"Adventure Quiz Capcom World 2 (920611 Japan)";1992;"Capcom";"YES";"-";"NO";"-";"-"
"sonicwi2";"Aero Fighters 2 / Sonic Wings 2";1994;"Video System Co.";"YES";"neogeo";"NO";"-";"-"
"sonicwi3";"Aero Fighters 3 / Sonic Wings 3";1995;"Video System Co.";"YES";"neogeo";"NO";"-";"-"
"aerofgt";"Aero Fighters";1992;"Video System Co.";"YES";"-";"NO";"-";"-"
"aburner2";"After Burner II";1987;"Sega";"YES";"-";"NO";"-";"-"
"aoh";"Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)";2001;"Unico";"YES";"-";"NO";"-";"-"
"superbon";"Agent Super Bond (scobra hardware) [Bad Colours]";1985;"Signaton USA";"YES";"-";"NO";"-";"-"
"aodk";"Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)";1994;"ADK / SNK";"YES";"neogeo";"NO";"-";"-"
"agress";"Agress";1991;"Palco";"YES";"-";"NO";"-";"-"
"koshien";"Ah Eikou no Koshien (Japan)";1990;"Taito Corporation";"YES";"-";"NO";"-";"-"
"airass";"Air Assault (World)";1993;"Irem";"YES";"-";"NO";"-";"-"
"airattck";"Air Attack (set 1)";1996;"Comad";"YES";"-";"NO";"-";"-"
"airbustr";"Air Buster: Trouble Specialty Raid Unit (World)";1990;"Kaneko (Namco license)";"YES";"-";"NO";"-";"-"
"airduel";"Air Duel (World, M82-A-A + M82-B-A)";1990;"Irem";"YES";"-";"NO";"-";"-"
"agallet";"Air Gallet (Europe)";1996;"BanPresto / Gazelle";"YES";"-";"NO";"-";"-"
"airwolf";"Airwolf";1987;"Kyugo";"YES";"-";"NO";"-";"-"
"ajax";"Ajax";1987;"Konami";"YES";"-";"NO";"-";"-"
"akkaarrh";"Akka Arrh (prototype)";1982;"Atari";"YES";"-";"NO";"-";"-"
"alcon";"Alcon (US)";1986;"Toaplan / Taito America Corp.";"YES";"-";"NO";"-";"-"
"alexkidd";"Alex Kidd: The Lost Stars (set 2, unprotected)";1986;"Sega";"YES";"-";"NO";"-";"-"
"alibaba";"Ali Baba and 40 Thieves";1982;"Sega";"YES";"-";"NO";"-";"-"
"alienar";"Alien Arena [Game has no sound]";1985;"Duncan Brown";"YES";"-";"NO";"-";"-"
"aliencha";"Alien Challenge (World)";1994;"IGS";"YES";"-";"NO";"-";"-"
"alinvade";"Alien Invaders [preliminary sound]";"198?";"Forbes?";"YES";"-";"NO";"-";"-"
"alienres";"Alien Rescue (Homebrew, Test Build July 2019) [monstersgoboom.itch.io]";2019;"MonstersGoBoom";"YES";"-";"NO";"-";"-"
"aliensec";"Alien Sector";1985;"Namco";"YES";"-";"NO";"-";"-"
"astorm";"Alien Storm (set 4, World, 2 Players, FD1094 317-0154)";1990;"Sega";"YES";"-";"NO";"-";"-"
"aliensyn";"Alien Syndrome (set 4, System 16B, unprotected)";1987;"Sega";"YES";"-";"NO";"-";"-"
"avsp";"Alien vs Predator (940520 Euro)";1994;"Capcom";"YES";"-";"NO";"-";"-"
"aliens";"Aliens (World set 1)";1990;"Konami";"YES";"-";"NO";"-";"-"
"aligator";"Alligator Hunt (World, protected)";1994;"Gaelco";"YES";"-";"NO";"-";"-"
"alpham2";"Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007)";1991;"SNK";"YES";"neogeo";"NO";"-";"-"
"alpine";"Alpine Ski (set 1)";1982;"Taito Corporation";"YES";"-";"NO";"-";"-"
"altbeast";"Altered Beast (set 8, 8751 317-0078)";1988;"Sega";"YES";"-";"NO";"-";"-"
"ambush";"Ambush";1983;"Tecfri";"YES";"-";"NO";"-";"-"
"horshoes";"American Horseshoes (US)";1990;"Taito America Corporation";"YES";"-";"NO";"-";"-"
"amspdwy";"American Speedway (set 1)";1987;"Enerdyne Technologies Inc.";"YES";"-";"NO";"-";"-"
"amidar";"Amidar";1981;"Konami";"YES";"-";"NO";"-";"-"
"androdun";"Andro Dunos (NGM-049)(NGH-049)";1992;"Visco";"YES";"neogeo";"NO";"-";"-"
"androidp";"Android (prototype, later build)";"198?";"Nasco";"YES";"-";"NO";"-";"-"
"angelkds";"Angel Kids (Japan)";1988;"Sega / Nasco?";"YES";"-";"NO";"-";"-"
"cadanglr";"Angler Dangler (DECO Cassette) (US)";1982;"Data East Corporation";"YES";"decocass";"NO";"-";"-"
"anteater";"Anteater";1982;"Stern (Tago license)";"YES";"-";"NO";"-";"-"
"appoooh";"Appoooh";1984;"Sanritsu / Sega";"YES";"-";"NO";"-";"-"
"aquajack";"Aquajack (World)";1990;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"aquarium";"Aquarium (US)";1996;"Excellent System";"YES";"-";"NO";"-";"-"
"arabianm";"Arabian Magic (Ver 1.0O 1992/07/06)";1992;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"arabian";"Arabian";1983;"Sun Electronics";"YES";"-";"NO";"-";"-"
"arbalest";"Arbalester";1989;"Seta";"YES";"-";"NO";"-";"-"
"arcadecl";"Arcade Classics (prototype)";1992;"Atari Games";"YES";"-";"NO";"-";"-"
"arcadian";"Arcadia (NMK)";1994;"NMK";"YES";"-";"NO";"-";"-"
"argus";"Argus";1986;"NMK (Jaleco license)";"YES";"-";"NO";"-";"-"
"arkarea";"Ark Area";1988;"UPL";"YES";"-";"NO";"-";"-"
"arkanoid";"Arkanoid (World, oldest rev)";1986;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"arknoid2";"Arkanoid - Revenge of DOH (World)";1987;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"arkretrn";"Arkanoid Returns (Ver 2.02O 1997/02/10)";1997;"Taito Corporation";"YES";"-";"NO";"-";"-"
"armwrest";"Arm Wrestling";1985;"Nintendo";"YES";"-";"NO";"-";"-"
"armedf";"Armed Formation";1988;"Nichibutsu";"YES";"-";"NO";"-";"-"
"batrider";"Armed Police Batrider (Europe) (Fri Feb 13 1998)";1998;"Raizing / 8ing";"YES";"-";"NO";"-";"-"
"armorcar";"Armored Car (set 1)";1981;"Stern";"YES";"-";"NO";"-";"-"
"armwar";"Armored Warriors (941024 Europe)";1994;"Capcom";"YES";"-";"NO";"-";"-"
"aof";"Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)";1992;"SNK";"YES";"neogeo";"NO";"-";"-"
"aof2";"Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)";1994;"SNK";"YES";"neogeo";"NO";"-";"-"
"aof3";"Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden";1996;"SNK";"YES";"neogeo";"NO";"-";"-"
"ashura";"Ashura Blaster (World)";1990;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"aso";"ASO - Armored Scrum Object";1985;"SNK";"YES";"-";"NO";"-";"-"
"assault";"Assault (Rev B)";1988;"Namco";"YES";"-";"NO";"-";"-"
"asterix";"Asterix (ver EAD)";1992;"Konami";"YES";"-";"NO";"-";"-"
"asteroid";"Asteroids (rev 4)";1979;"Atari";"YES";"-";"NO";"-";"-"
"astdelux";"Asteroids Deluxe (rev 3)";1980;"Atari";"YES";"-";"NO";"-";"-"
"castfant";"Astro Fantasia (DECO Cassette) (US)";1981;"Data East Corporation";"YES";"decocass";"NO";"-";"-"
"asuka";"Asuka & Asuka (World)";1988;"Taito Corporation";"YES";"-";"NO";"-";"-"
"asurabld";"Asura Blade - Sword of Dynasty (Japan)";1998;"Fuuki";"YES";"-";"NO";"-";"-"
"asurabus";"Asura Buster - Eternal Warriors (Japan)";2000;"Fuuki";"YES";"-";"NO";"-";"-"
"atehate";"Athena no Hatena ?";1993;"Athena";"YES";"-";"NO";"-";"-"
"athena";"Athena";1986;"SNK";"YES";"-";"NO";"-";"-"
"atomicp";"Atomic Point (Korea)";1990;"Philco";"YES";"-";"NO";"-";"-"
"robokid";"Atomic Robo-kid (World, Type-2)";1988;"UPL";"YES";"-";"NO";"-";"-"
"aurail";"Aurail (set 3, US, unprotected)";1990;"Sega / Westone";"YES";"-";"NO";"-";"-"
"avengers";"Avengers (US set 1)";1987;"Capcom";"YES";"-";"NO";"-";"-"
"avengrgs";"Avengers In Galactic Storm (US)";1995;"Data East Corporation";"YES";"-";"NO";"-";"-"
"avspirit";"Avenging Spirit";1991;"Jaleco";"YES";"-";"NO";"-";"-"
"aztarac";"Aztarac [Vector graphics]";1983;"Centuri";"YES";"-";"NO";"-";"-"
"azurian";"Azurian Attack";1982;"Rait Electronics Ltd";"YES";"-";"NO";"-";"-"
"bwings";"B-Wings (Japan new Ver.)";1984;"Data East Corporation";"YES";"-";"NO";"-";"-"
"bonkadv";"B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin";1994;"Kaneko";"YES";"-";"NO";"-";"-"
"bcstry";"B.C. Story (set 1)";1997;"SemiCom";"YES";"-";"NO";"-";"-"
"brapboys";"B.Rap Boys (World)";1992;"Kaneko";"YES";"-";"NO";"-";"-"
"backfirt";"Back Fire (Tecmo, bootleg)";1988;"Tecmo";"YES";"-";"NO";"-";"-"
"bssoccer";"Back Street Soccer";1996;"SunA";"YES";"-";"NO";"-";"-"
"backfire";"Backfire! (set 1)";1995;"Data East Corporation";"YES";"-";"NO";"-";"-"
"badapple";"Bad Apple Demo [Demo]";2017;"Hpman";"YES";"neogeo";"NO";"-";"-"
"baddudes";"Bad Dudes vs. Dragonninja (US)";1988;"Data East USA";"YES";"-";"NO";"-";"-"
"badlands";"Bad Lands";1989;"Atari Games";"YES";"-";"NO";"-";"-"
"bagman";"Bagman";1982;"Valadon Automation";"YES";"-";"NO";"-";"-"
"bakatono";"Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)";1991;"Monolith Corp.";"YES";"neogeo";"NO";"-";"-"
"bakutotu";"Bakutotsu Kijuutei";1988;"Namco";"YES";"-";"NO";"-";"-"
"balcube";"Bal Cube";1996;"Metro";"YES";"-";"NO";"-";"-"
"ballbros";"Balloon Brothers";1992;"East Technology";"YES";"-";"NO";"-";"-"
"baluba";"Baluba-louk no Densetsu (Japan)";1986;"Able Corp, Ltd.";"YES";"-";"NO";"-";"-"
"banbam";"BanBam";1984;"Sun Electronics";"YES";"-";"NO";"-";"-"
"bangball";"Bang Bang Ball (v1.05)";1996;"Banpresto / Kunihiko Tashiro+Goodhouse";"YES";"-";"NO";"-";"-"
"b2b";"Bang Bang Busters (2010 NCI release) [Prototype]";2000;"Visco";"YES";"neogeo";"NO";"-";"-"
"bangbead";"Bang Bead";2000;"Visco";"YES";"neogeo";"NO";"-";"-"
"bang";"Bang!";1998;"Gaelco";"YES";"-";"NO";"-";"-"
"bankp";"Bank Panic";1984;"[Sanritsu] Sega";"YES";"-";"NO";"-";"-"
"baryon";"Baryon - Future Assault (set 1)";1997;"SemiCom";"YES";"-";"NO";"-";"-"
"bstars2";"Baseball Stars 2";1992;"SNK";"YES";"neogeo";"NO";"-";"-"
"bstars";"Baseball Stars Professional (NGM-002)";1990;"SNK";"YES";"neogeo";"NO";"-";"-"
"batman";"Batman";1991;"Atari Games";"YES";"-";"NO";"-";"-"
"batsugun";"Batsugun (set 1)";1993;"Toaplan";"YES";"-";"NO";"-";"-"
"battlnts";"Battlantis (program code G)";1987;"Konami";"YES";"-";"NO";"-";"-"
"bbakraid";"Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999)";1999;"Eighting";"YES";"-";"NO";"-";"-"
"bchopper";"Battle Chopper (World)";1987;"Irem";"YES";"-";"NO";"-";"-"
"batcir";"Battle Circuit (970319 Euro)";1997;"Capcom";"YES";"-";"NO";"-";"-"
"battlex";"Battle Cross";1982;"Omori Electric Co., Ltd.";"YES";"-";"NO";"-";"-"
"bcruzm12";"Battle Cruiser M-12";1983;"Sigma Enterprises Inc.";"YES";"-";"NO";"-";"-"
"flipshot";"Battle Flip Shot";1998;"Visco";"YES";"neogeo";"NO";"-";"-"
"bgaregga";"Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)";1996;"Raizing / 8ing";"YES";"-";"NO";"-";"-"
"btlkroad";"Battle K-Road";1994;"Psikyo";"YES";"-";"NO";"-";"-"
"battlane";"Battle Lane! Vol. 5 (set 1)";1986;"Technos Japan (Taito license)";"YES";"-";"NO";"-";"-"
"atlantis";"Battle of Atlantis (set 1)";1981;"Comsoft";"YES";"-";"NO";"-";"-"
"bshark";"Battle Shark (World)";1989;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"bzone";"Battle Zone (rev 2) [GFX/Sound Issues]";1980;"Atari";"YES";"-";"NO";"-";"-"
"bayroute";"Bay Route (set 3, World, FD1094 317-0116)";1989;"Sunsoft / Sega";"YES";"-";"NO";"-";"-"
"bbusters";"Beast Busters (World)";1989;"SNK";"YES";"-";"NO";"-";"-"
"ddp2";"Bee Storm - DoDonPachi II (V102, World)";2001;"IGS";"YES";"pgm";"NO";"-";"-"
"blswhstl";"Bells & Whistles (World, version L)";1991;"Konami";"YES";"-";"NO";"-";"-"
"berabohm";"Beraboh Man (Japan, Rev C)";1988;"Namco";"YES";"-";"NO";"-";"-"
"bermudat";"Bermuda Triangle (World?)";1987;"SNK";"YES";"-";"NO";"-";"-"
"berzerk";"Berzerk (revision RC31A)";1980;"Stern Electronics";"YES";"-";"NO";"-";"-"
"bestbest";"Best Of Best";1994;"SunA";"YES";"-";"NO";"-";"-"
"bestri";"Bestri (Korea, set 1)";1998;"F2 System";"YES";"-";"NO";"-";"-"
"bigbucks";"Big Bucks";1986;"Dynasoft Inc.";"YES";"-";"NO";"-";"-"
"bigkarnk";"Big Karnak";1991;"Gaelco";"YES";"-";"NO";"-";"-"
"bigstrik";"Big Striker";1992;"Jaleco";"YES";"-";"NO";"-";"-"
"bigtwin";"Big Twin";1995;"Playmark";"YES";"-";"NO";"-";"-"
"bikkuric";"Bikkuri Card (Japan)";1987;"Peni Soft";"YES";"-";"NO";"-";"-"
"bioatack";"Bio Attack";1983;"Taito Corporation (Fox Video Games license)";"YES";"-";"NO";"-";"-"
"bioship";"Bio-ship Paladin";1990;"UPL (American Sammy license)";"YES";"nmk004";"NO";"-";"-"
"biomtoy";"Biomechanical Toy (Ver. 1.0.1885)";1995;"Gaelco";"YES";"-";"NO";"-";"-"
"bionicc";"Bionic Commando (Euro)";1987;"Capcom";"YES";"-";"NO";"-";"-"
"birdtry";"Birdie Try (Japan revision 2, revision 1 MCU)";1988;"Data East Corporation";"YES";"-";"NO";"-";"-"
"birdiy";"Birdiy";1982;"Mama Top";"YES";"-";"NO";"-";"-"
"bishi";"Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players) [Imperfect gfx (one gfx rom bad, bad priorities)]";1996;"Konami";"YES";"-";"NO";"-";"-"
"blkheart";"Black Heart";1991;"UPL";"YES";"nmk004";"NO";"-";"-"
"blkhole";"Black Hole";1981;"TDS";"YES";"-";"NO";"-";"-"
"blkpnthr";"Black Panther";1987;"Konami";"YES";"-";"NO";"-";"-"
"blktiger";"Black Tiger";1987;"Capcom";"YES";"-";"NO";"-";"-"
"blackt96";"Black Touch '96 [Game is glitchy (very poor quality)! This is normal!]";1996;"D.G.R.M.";"YES";"-";"NO";"-";"-"
"bwidow";"Black Widow";1982;"Atari";"YES";"-";"NO";"-";"-"
"bmaster";"Blade Master (World)";1991;"Irem";"YES";"-";"NO";"-";"-"
"bladestl";"Blades of Steel (version T, Joystick)";1987;"Konami";"YES";"-";"NO";"-";"-"
"blandia";"Blandia";1992;"Allumer";"YES";"-";"NO";"-";"-"
"blastoff";"Blast Off (Japan)";1989;"Namco";"YES";"-";"NO";"-";"-"
"blaster";"Blaster";1983;"Williams / Vid Kidz";"YES";"-";"NO";"-";"-"
"blstroid";"Blasteroids (rev 4)";1987;"Atari Games";"YES";"-";"NO";"-";"-"
"blasto";"Blasto";1978;"Gremlin";"YES";"-";"NO";"-";"blockade"
"blazeon";"Blaze On (World)";1992;"A.I (Atlus license)";"YES";"-";"NO";"-";"-"
"blazer";"Blazer (Japan)";1987;"Namco";"YES";"-";"NO";"-";"-"
"blazstar";"Blazing Star";1998;"Yumekobo";"YES";"neogeo";"NO";"-";"-"
"blzntrnd";"Blazing Tornado";1994;"Human Amusement";"YES";"-";"NO";"-";"-"
"block";"Block Block (World 911219 Joystick)";1991;"Capcom";"YES";"-";"NO";"-";"-"
"blockcar";"Block Carnival / Thunder & Lightning 2";1992;"Visco";"YES";"-";"NO";"-";"-"
"blockgal";"Block Gal (MC-8123B, 317-0029)";1987;"Sega / Vic Tokai";"YES";"-";"NO";"-";"-"
"blockhl";"Block Hole";1989;"Konami";"YES";"-";"NO";"-";"-"
"blockout";"Block Out (set 1)";1989;"Technos Japan / California Dreams";"YES";"-";"NO";"-";"-"
"blockade";"Blockade";1976;"Gremlin";"YES";"-";"NO";"-";"-"
"blocken";"Blocken (Japan)";1994;"Visco / KID";"YES";"-";"NO";"-";"-"
"blmbycar";"Blomby Car";1994;"ABM & Gecas";"YES";"-";"NO";"-";"-"
"bloodbro";"Blood Bros. (World?)";1990;"TAD Corporation";"YES";"-";"NO";"-";"-"
"bloodstm";"Blood Storm (v2.22)";1994;"Strata/Incredible Technologies";"YES";"-";"NO";"-";"-"
"bloodwar";"Blood Warrior";1994;"Kaneko";"YES";"-";"NO";"-";"-"
"bloxeed";"Bloxeed (Japan, FD1094 317-0139)";1990;"Sega";"YES";"-";"NO";"-";"-"
"bluehawk";"Blue Hawk";1993;"Dooyong";"YES";"-";"NO";"-";"-"
"blueprnt";"Blue Print (Midway)";1982;"[Zilec Electronics] Bally Midway";"YES";"-";"NO";"-";"-"
"bjourney";"Blue's Journey / Raguy (ALM-001)(ALH-001)";1990;"Alpha Denshi Co.";"YES";"neogeo";"NO";"-";"-"
"bwcasino";"Boardwalk Casino";1983;"EPOS Corporation";"YES";"-";"NO";"-";"-"
"bodyslam";"Body Slam (8751 317-0015)";1986;"Sega";"YES";"-";"NO";"-";"-"
"bogeyman";"Bogey Manor";1985;"Technos Japan";"YES";"-";"NO";"-";"-"
"boggy84";"Boggy '84";1983;"Kaneko";"YES";"-";"NO";"-";"-"
"bombbee";"Bomb Bee";1979;"Namco";"YES";"-";"NO";"-";"-"
"bombjack";"Bomb Jack (set 1)";1984;"Tehkan";"YES";"-";"NO";"-";"-"
"bombkick";"Bomb Kick (set 1)";1998;"Yun Sung";"YES";"-";"NO";"-";"-"
"bbmanw";"Bomber Man World / New Dyna Blaster - Global Quest";1992;"Irem";"YES";"-";"NO";"-";"-"
"bjtwin";"Bombjack Twin (set 1)";1993;"NMK";"YES";"-";"NO";"-";"-"
"bnzabros";"Bonanza Bros (US, Floppy DS3-5000-07d? Based)";1990;"Sega";"YES";"-";"NO";"-";"-"
"bongo";"Bongo";1983;"Jetsoft";"YES";"-";"NO";"-";"-"
"bonzeadv";"Bonze Adventure (World, Newer)";1988;"Taito Corporation Japan";"YES";"cchip";"NO";"-";"-"
"boogwing";"Boogie Wings (Euro v1.5, 92.12.07)";1992;"Data East Corporation";"YES";"-";"NO";"-";"-"
"boomrang";"Boomer Rang'r / Genesis (set 1)";1983;"Data East Corporation";"YES";"-";"NO";"-";"-"
"boonggab";"Boong-Ga Boong-Ga (Spank'em!)";2001;"Taff System";"YES";"-";"NO";"-";"-"
"botanic";"Botanic (English / Spanish)";1983;"Itisa";"YES";"-";"NO";"-";"-"
"bottom9";"Bottom of the Ninth (ver. T)";1989;"Konami";"YES";"-";"NO";"-";"-"
"cbdash";"Boulder Dash (DECO Cassette) (US)";1985;"Data East Corporation";"YES";"decocass";"NO";"-";"-"
"bouldash";"Boulder Dash / Boulder Dash Part 2 (World)";1990;"Data East Corporation (licensed from First Star)";"YES";"-";"NO";"-";"-"
"bballs";"Bouncing Balls";1991;"Comad";"YES";"-";"NO";"-";"-"
"bowlrama";"Bowl-O-Rama";1991;"P&P Marketing";"YES";"-";"NO";"-";"-"
"boxyboy";"Boxy Boy (World, SB2)";1990;"Namco";"YES";"-";"NO";"-";"-"
"bradley";"Bradley Trainer [GFX/Sound Issues]";1980;"Atari";"YES";"-";"NO";"-";"-"
"brain";"Brain";1986;"Coreland / Sega";"YES";"-";"NO";"-";"-"
"brkthru";"Break Thru (US)";1986;"Data East USA";"YES";"-";"NO";"-";"-"
"breakrev";"Breakers Revenge";1998;"Visco";"YES";"neogeo";"NO";"-";"-"
"breakers";"Breakers";1996;"Visco";"YES";"neogeo";"NO";"-";"-"
"bubl2000";"Bubble 2000";1998;"Afega (Tuning license)";"YES";"-";"NO";"-";"-"
"bublbobl";"Bubble Bobble (Japan, Ver 0.1)";1986;"Taito Corporation";"YES";"-";"NO";"-";"-"
"bublbob2";"Bubble Bobble II (Ver 2.6O 1994/12/16)";1994;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"bubblem";"Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)";1995;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"bubbletr";"Bubble Trouble (World, Rev B)";1992;"Namco";"YES";"-";"NO";"-";"-"
"bubbles";"Bubbles";1982;"Williams";"YES";"-";"NO";"-";"-"
"buccanrs";"Buccaneers (set 1)";1989;"Duintronic";"YES";"-";"NO";"-";"-"
"buckrog";"Buck Rogers: Planet of Zoom";1982;"Sega";"YES";"-";"NO";"-";"-"
"bucky";"Bucky O'Hare (ver EAB)";1992;"Konami";"YES";"-";"NO";"-";"-"
"buggychl";"Buggy Challenge";1984;"Taito Corporation";"YES";"-";"NO";"-";"-"
"bullet";"Bullet (FD1094 317-0041)";1987;"Sega";"YES";"-";"NO";"-";"-"
"bullfgt";"Bullfight (315-5065)";1984;"Coreland / Sega";"YES";"-";"NO";"-";"-"
"btime";"Burger Time (Data East set 1)";1982;"Data East Corporation";"YES";"-";"NO";"-";"-"
"cbtime";"Burger Time (DECO Cassette) (US)";1983;"Data East Corporation";"YES";"decocass";"NO";"-";"-"
"burglarx";"Burglar X";1997;"Unico";"YES";"-";"NO";"-";"-"
"cburnrub";"Burnin' Rubber (DECO Cassette) (US) (set 1)";1982;"Data East Corporation";"YES";"decocass";"NO";"-";"-"
"brubber";"Burnin' Rubber";1982;"Data East";"YES";"-";"NO";"-";"-"
"burningf";"Burning Fight (NGM-018)(NGH-018)";1991;"SNK";"YES";"neogeo";"NO";"-";"-"
"burnforc";"Burning Force (Japan, new version (Rev C))";1989;"Namco";"YES";"-";"NO";"-";"-"
"butasan";"Butasan - Pig's & Bomber's (Japan, English)";1987;"NMK (Jaleco license)";"YES";"-";"NO";"-";"-"
"bygone";"Bygone [Imperfect sound]";1985;"Taito Corporation";"YES";"-";"NO";"-";"-"
"cabal";"Cabal (World, Joystick)";1988;"TAD Corporation";"YES";"-";"NO";"-";"-"
"cachat";"Cachat (Japan)";1993;"Taito Corporation";"YES";"-";"NO";"-";"-"
"cadash";"Cadash (World)";1989;"Taito Corporation Japan";"YES";"-";"NO";"-";"-"
"dino";"Cadillacs & Dinosaurs (930201 World)";1993;"Capcom";"YES";"-";"NO";"-";"-"
"calibr50";"Caliber 50";1989;"Athena / Seta";"YES";"-";"NO";"-";"-"
"calipso";"Calipso";1982;"Stern (Tago license)";"YES";"-";"NO";"-";"-"
"calorie";"Calorie Kun vs Moguranian";1986;"Sega";"YES";"-";"NO";"-";"-"
"cameltry";"Cameltry (US, YM2610)";1989;"Taito America Corporation";"YES";"-";"NO";"-";"-"
"candy";"Candy Candy";1999;"Eolith";"YES";"-";"NO";"-";"-"
"cannonbp";"Cannon Ball (Pacman Hardware) [wrong colors]";1985;"Novomatic";"YES";"-";"NO";"-";"-"
"cannball";"Cannon Ball (Yun Sung, horizontal)";1995;"Yun Sung / Soft Vision";"YES";"-";"NO";"-";"-"
"canvas";"Canvas Croquis";1985;"SNK";"YES";"-";"NO";"-";"-"
"canyon";"Canyon Bomber [No sound]";1977;"Atari";"YES";"-";"NO";"-";"-"
"capbowl";"Capcom Bowling (set 1)";1988;"Incredible Technologies / Capcom";"YES";"-";"NO";"-";"-"
"csclub";"Capcom Sports Club (971017 Euro)";1997;"Capcom";"YES";"-";"NO";"-";"-"
